fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,NDVI_mean,SAVI_mean,Threshold_sum,Threshold_mean,PLANTS_2ROW,HAreamean,NDVImean,NDVIvariance,618gNDVI_mean,618gNDVI_variance,618NDRE_mean,618NDRE_variance,618ExG_mean,618ExG_variance,618ExR_mean,618ExR_variance
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",0.235324618993437,0.0156817168512217,1277,0.00893663179257497,69,0.93073866477198,0.235324618993437,0.00245928936114855,0.386105350017915,0.00217302365934664,0.124136034900584,0.000806509101115265,2673.80352706533,1075697.97303632,16849.914049223,12563161.9135999
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",0.225491393529357,0.0160155686635569,1365,0.0095526022968235,78,0.977855263157895,0.225491393529357,0.00238837062926619,0.377514486156208,0.00188156925468671,0.118661667796566,0.000834713638019588,2718.8148334768,1198562.88457579,16987.6856234302,13785582.8593774
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",0.228580691469943,0.0147141057899819,2572,0.0179992302039959,86,0.988000315781164,0.228580691469943,0.00393254264497101,0.365662020649911,0.00290001981903626,0.101018759352961,0.000873099880617377,2719.58052709663,1534109.9825004,16508.9087968885,16490425.3144863
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",0.235066751652335,0.0152261966221033,8087,0.0565943986451495,59,0.978092105263158,0.235066751652335,0.00964131513544683,0.356584057984293,0.0037279228455852,0.0874729011843195,0.00116873679835923,3023.37123322183,8308009.0972483,16465.8983014025,23875791.6487273
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",0.219663060152539,0.0145943370175485,4290,0.0300224643614453,46,0.756526315789474,0.219663060152539,0.00636735958250529,0.354735567163265,0.00312753225965983,0.0882509758929481,0.000938629295580803,2931.67036873745,4684304.08474665,16337.968092153,17164686.2675848
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",0.231254016804526,0.0149931835786192,1744,0.0122050219746382,44,0.730385126511493,0.231254016804526,0.00304048287110107,0.35929520747025,0.00269814727585589,0.0956520473735284,0.00104302578862937,2522.38032220138,2063328.31792119,16615.1964579684,18735848.3190408
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",0.234262408098311,0.0164593197499927,3654,0.0255712236257392,43,0.870317495822423,0.234262408098311,0.00448202249625611,0.36286389462783,0.0027537978308252,0.0990495164344021,0.000912388259218205,2889.49847790336,4159347.70619967,16605.3052440741,18318566.5228476
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",0.243524853225389,0.0158116235612606,4672,0.03269533573603,58,0.954183607679048,0.243524853225389,0.00602209684377261,0.374518177294258,0.00349089469617679,0.104652847655708,0.00110681202091535,2923.088819841,5059712.52102721,17013.3760145558,21808397.9035009
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",0.229429946324623,0.0146713899002022,1434,0.0100353406347318,43,0.608055475144083,0.229429946324623,0.00297560691270864,0.370394065079542,0.00271618441473002,0.102646660790487,0.000946963229992873,2735.48157038385,2153022.99441694,17225.6019034456,16799791.3244775
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",0.239987131823917,0.0156518306912965,8241,0.0576717169949963,64,0.981473927974632,0.239987131823917,0.0106311452880672,0.369070489499176,0.00421389585960789,0.0959406775064578,0.0012393173414716,3173.20099373666,8564586.48919991,16116.0529747803,23794130.8667324
"1528",2024/06/04,02:18:57pm,4.71,"905",D9,45.43305949,-73.93878983,39.021,"0","0",,"1",500938a125f6843f,"1","5","309","309",0.243026094401379,0.0151745542789877,6918,0.0484135093145968,60,0.98394757963711,0.243026094401379,0.00759361196099733,0.365790228637219,0.00374086515256986,0.0951061530132603,0.00129366714012815,3052.94391646955,8514688.85873837,16356.3537796231,23975077.3229225
"1529",2024/06/04,02:19:09pm,4.71,"905",D7,45.43303241,-73.93887061,39.021,"0","0",,"1",500938ad2f841179,"1","4","302","302",0.219426499191322,0.0144846739608283,2906,0.0203368954392447,66,0.978618421052632,0.219426499191322,0.0047497892032052,0.356769228956056,0.0030203796863319,0.0899936114819803,0.000951212497917104,2759.82726935539,2192135.88584928,16430.498145519,17636400.3699716
"1530",2024/06/04,02:19:22pm,4.71,"905",D5,45.43300564,-73.9389516,39.021,"0","0",,"1",500938ba669012e1,"1","3","209","209",0.226901684153394,0.0144479625489686,3836,0.0268452618392783,47,0.95221052631579,0.226901684153394,0.00510642187405151,0.354391089353348,0.00297863020288212,0.0891679758445836,0.00117734785102084,2735.00040589528,5566581.8300558,16830.0217286876,20539294.2929022
"1531",2024/06/04,02:19:34pm,4.71,"905",D3,45.43297856,-73.9390323,39.021,"0","0",,"1",500938c669fc4194,"1","2","202","202",0.221048763452132,0.0139704777221871,1352,0.00946142649199418,83,0.981078947368421,0.221048763452132,0.00308218586101882,0.35459286736772,0.00279408061903996,0.0916776041845015,0.000879251259812461,2648.10373978278,1527173.12311163,16931.2816854205,15930185.2881073
"1532",2024/06/04,02:19:47pm,4.71,"905",D1,45.4329516,-73.93911321,39.021,"0","0",,"1",500938d31d4cc688,"1","1","109","109",0.224773423365678,0.0143967372359287,2435,0.0170406035242907,67,0.921684210526316,0.224773423365678,0.00351090266403718,0.375955922404824,0.00253749144640478,0.112003810774507,0.000930058111382212,2573.18276484667,2109623.75200438,16866.2040862458,16068825.4741574
"1533",2024/06/04,02:20:00pm,4.71,"905",D-1,45.4329247,-73.93919406,39.021,"0","0",,"1",500938e02a9ec38d,"1","0","102","102",0.236583605166686,0.0155778859279102,2680,0.0187551611684185,85,0.980381578947368,0.236583605166686,0.00368416104110833,0.3813202399432,0.00267966626966018,0.117971469395824,0.000745963873577588,2796.39252872759,1532110.15421958,16813.706325273,13485482.6339013
"1534",2024/06/04,02:20:58pm,4.71,"905",U-1,45.43290041,-73.93917769,39.021,"0","0",,"1",5009391a2cd19750,"2","0","103","103",0.236035103301776,0.01562108066125,2656,0.0185877248232906,74,0.974407557994184,0.236035103301776,0.00339814705144383,0.371575906430741,0.00214716571734447,0.10582747178644,0.000702343602465469,2594.68478549934,1397244.63297234,16821.6805964655,10851063.1621652
"1535",2024/06/04,02:21:11pm,4.71,"905",U1,45.43292639,-73.93909621,39.021,"0","0",,"1",500939272161cf8e,"2","1","110","110",0.216760135844102,0.0142360690679711,1104,0.00772600669027391,64,0.964921052631579,0.216760135844102,0.0022915596410531,0.357046777727638,0.00183902717268857,0.0948205215146798,0.00081621511260839,2586.82216188223,1331290.24166711,17033.3249287695,13636343.6493527
"1536",2024/06/04,02:21:23pm,4.71,"905",U3,45.43295377,-73.93901557,39.021,"0","0",,"1",500939332035b4b3,"2","2","203","203",0.222132396438041,0.0140229885174585,2291,0.0160333123381622,86,0.981947368421053,0.222132396438041,0.00373590810299052,0.344896052936032,0.00264958809063305,0.0852788507363541,0.000765500204270065,2839.81518909386,1543600.0457094,16913.1572377382,15348451.5282138
"1537",2024/06/04,02:21:51pm,4.71,"905",U5,45.43298071,-73.93893478,39.02,"0","0",,"1",5009394f377e7978,"2","3","210","210",0.258133708958169,0.0169733783704663,11629,0.0813831425132268,48,0.967657469177226,0.258133708958169,0.0125644566035824,0.360046266528108,0.00426884130227641,0.0900240992482999,0.00110679361506449,3412.38711054503,14189436.4630769,16182.7816118232,28033434.8918631
"1538",2024/06/04,02:22:04pm,4.71,"905",U7,45.43300744,-73.93885375,39.02,"0","0",,"1",5009395c17548ec5,"2","4","303","303",0.227114973768271,0.014553426813423,3345,0.0234097796191449,72,0.98175,0.227114973768271,0.00525200690802856,0.359660177614621,0.00301541616445468,0.0909975153650216,0.000954179969110904,2801.33075092729,2850410.13877372,16387.0559634352,18573288.2670452
"1539",2024/06/04,02:22:17pm,4.71,"905",U9,45.43303463,-73.93877308,39.02,"0","0",,"1",500939696854b105,"2","5","310","310",0.236037976686682,0.0150393483843588,5719,0.0400235144270808,54,0.933078947368421,0.236037976686682,0.00701532504112998,0.362453091296228,0.0033046279493362,0.0930546815006871,0.00104068904323965,2945.84652637325,5889812.58190031,16378.4618079508,20575197.7151893
"1540",2024/06/04,02:22:29pm,4.71,"905",U11,45.43306147,-73.93869215,39.02,"0","0",,"1",5009397538f822dd,"2","6","403","403",0.231881829090796,0.0156709510776039,6393,0.0447394572200372,66,0.986486842105263,0.231881829090796,0.00788601010312878,0.362219343532986,0.00337462245308931,0.0917671966542202,0.00107012364924651,3021.91231962154,7193272.2335889,16267.3624394835,19680377.5405334
"1541",2024/06/04,02:22:42pm,4.71,"905",U13,45.43308844,-73.9386113,39.02,"0","0",,"1",50093982458e6078,"2","7","410","410",0.244784033365067,0.0166090174387975,7352,0.0514503656531019,70,0.98223707582795,0.244784033365067,0.00848672754183975,0.371649748343916,0.00363277498960613,0.102156972039736,0.00102639172952452,3321.68187830225,8557738.66629903,16700.1804485223,22531617.9635309
"1542",2024/06/04,02:27:37pm,4.71,"905",D13,45.43306279,-73.93859418,39.02,"0","0",,"1",50093aa91c5e3ec4,"3","7","411","411",0.24615748682062,0.016055400700426,4706,0.0329330422125182,84,0.990855142830827,0.24615748682062,0.00585314593507317,0.379173264058263,0.00360605533684296,0.107032189085642,0.00125723822318354,2851.92533031016,5178238.33881476,16858.2277761592,24616866.410985
"1543",2024/06/04,02:27:50pm,4.71,"905",D11,45.43303634,-73.93867533,39.02,"0","0",,"1",50093ab67d023af4,"3","6","404","404",0.222218373740972,0.0151260185475145,1761,0.0123240791932312,41,0.627302631578947,0.222218373740972,0.00322821873408814,0.353104220451975,0.00267696603573504,0.0938509816197569,0.000981595696710523,2743.25979061109,2168735.14727246,16779.2702391899,16110606.9043341
"1544",2024/06/04,02:28:09pm,4.71,"905",D9,45.43301019,-73.93875676,39.02,"0","0",,"1",50093ac93b20d3c3,"3","5","311","311",0.241222777791798,0.0155433193248406,4360,0.0305125549365955,45,0.87053947368421,0.241222777791798,0.00562150022333426,0.366854581449821,0.00300091411970679,0.0991122932306944,0.000998425395417786,2875.88807630938,5790893.9866123,16335.2380645667,20075031.7293437
"1545",2024/06/04,02:28:21pm,4.71,"905",D7,45.43298281,-73.93883734,39.02,"0","0",,"1",50093ad5406f8ce0,"3","4","304","304",0.234395570001074,0.0153851307567109,5165,0.036146180331999,52,0.78871052631579,0.234395570001074,0.00682149858688225,0.356674123144624,0.00342496631737118,0.0877299149604974,0.000983594630228539,3041.77223357501,5544660.14751791,16401.2092596925,19253669.7308968
"1546",2024/06/04,02:28:34pm,4.71,"905",D5,45.43295598,-73.93891824,39.02,"0","0",,"1",50093ae27784cc33,"3","3","211","211",0.248634675799757,0.0160364722654097,6512,0.0455722423614707,57,0.971433458775231,0.248634675799757,0.00746933926404894,0.360142920078945,0.0034346244103791,0.0948525282480966,0.00100045936103662,2941.57434881801,6543194.39876846,16701.2235109858,21879805.8331952
"1547",2024/06/04,02:28:47pm,4.71,"905",D3,45.43292895,-73.93899903,39.02,"0","0",,"1",50093aef17380c91,"3","2","204","204",0.230559492764874,0.0149186788504036,1830,0.0128071440068865,58,0.950724332574571,0.230559492764874,0.00346400496087637,0.351973799798414,0.00282682317029141,0.0915821585535429,0.000869266468446659,2763.96670189165,1794251.52434769,16676.3812183553,16643966.3814646
"1548",2024/06/04,02:28:59pm,4.71,"905",D1,45.43290187,-73.9390798,39.02,"0","0",,"1",50093afb12549ffc,"3","1","111","111",0.224812839728104,0.0140029428082537,1839,0.0128695895587669,83,0.982802857857134,0.224812839728104,0.00289458681813098,0.351137409231512,0.00219826192242949,0.0886867294743678,0.000893303752246173,2488.93635186676,1419217.98037809,16484.5082055246,15124428.5069444
"1549",2024/06/04,02:29:12pm,4.71,"905",D-1,45.4328751,-73.93916081,39.021,"0","0",,"1",50093b08785a7bd0,"3","0","104","104",0.238642166322323,0.0156145218824864,2721,0.0190423536657056,74,0.986724033578064,0.238642166322323,0.00368815502312938,0.365268539090364,0.00248759229189223,0.0969252886796823,0.000852684896370963,2376.60182515466,1333057.81452737,16279.1795005537,14188222.917446
"1550",2024/06/04,02:30:00pm,4.71,"905",U-1,45.43285046,-73.93914412,39.02,"0","0",,"1",50093b3805b857f6,"4","0","105","105",0.226693065072246,0.0142400487322808,1329,0.0093007306217283,64,0.946184918619492,0.226693065072246,0.00238480371944493,0.35284323585749,0.0022594215084129,0.0892339039976552,0.000653218384458874,2204.37612322593,1504383.45223147,16258.4904236711,12842835.8810957
"1551",2024/06/04,02:30:13pm,4.71,"905",U1,45.43287695,-73.93906298,39.02,"0","0",,"1",50093b45131a1f8a,"4","1","112","112",0.219781750743868,0.0137354770554176,941,0.00658548533837217,57,0.948960526315789,0.219781750743868,0.00208470982333776,0.346597118161418,0.00211516354583067,0.0888589110810921,0.000815196964105403,2335.75908041151,1059096.03942431,16482.2419533734,13498550.3494104
"1552",2024/06/04,02:30:25pm,4.71,"905",U3,45.43290416,-73.93898236,39.02,"0","0",,"1",50093b5177614e40,"4","2","205","205",0.234131842546146,0.0151535575025073,1982,0.0138705184998565,75,0.967671052631579,0.234131842546146,0.00328413476744328,0.354473494153393,0.00257711862407643,0.094339737749031,0.000823792363021658,2835.31277730346,1769374.28964638,16542.4110311285,15165798.5062221
"1553",2024/06/04,02:30:38pm,4.71,"905",U5,45.43293104,-73.93890134,39.02,"0","0",,"1",50093b5e4c336168,"4","3","212","212",0.236599578561634,0.0152796489625691,3797,0.0265723303450834,32,0.909893551230937,0.236599578561634,0.00491770870973621,0.35496732970069,0.00255818262971505,0.0956958096992653,0.00100953108623961,2852.38584115387,5578238.03870753,17031.3197206201,18722348.6799634
"1554",2024/06/04,02:30:51pm,4.71,"905",U7,45.43295813,-73.93882066,39.02,"0","0",,"1",50093b6b45d1b542,"4","4","305","305",0.237295467406844,0.0158985511872237,5476,0.0383223810823483,48,0.971275937841287,0.237295467406844,0.00736047467454293,0.356668968702953,0.00325239567845366,0.0903088752767237,0.000962222581161456,3149.83192318728,7144957.18367108,16716.7996374395,19525815.2407387
"1555",2024/06/04,02:31:03pm,4.71,"905",U9,45.43298503,-73.93873976,39.02,"0","0",,"1",50093b771410315b,"4","5","312","312",0.267385193023197,0.017557985163134,12154,0.0850572460319682,53,0.9775,0.267385193023197,0.0123141889861439,0.378306617571464,0.00421604659001033,0.104505434428056,0.00115189600108181,3303.33526019651,12815236.0118062,15842.3942473754,28150046.7505582
"1556",2024/06/04,02:31:16pm,4.71,"905",U11,45.433012,-73.93865893,39.02,"0","0",,"1",50093b8410c2a505,"4","6","405","405",0.237101863214157,0.0156628279235788,3480,0.0243535463102278,53,0.961197368421053,0.237101863214157,0.00493185453269497,0.363982591788924,0.00340862838866818,0.0989895487303503,0.00109052081768213,2827.58220371602,3737170.44491514,16632.2211810011,20563776.2860689
"1557",2024/06/04,02:31:29pm,4.71,"905",U13,45.43303878,-73.93857797,39.02,"0","0",,"1",50093b9138442333,"4","7","412","412",0.23283143470795,0.0153261838260173,1919,0.0134294411980825,44,0.936723684210526,0.23283143470795,0.00351507308415845,0.36657973936826,0.0032196643577104,0.102177863846956,0.00112798178532066,2688.57533153714,2340567.92201863,17259.3750879304,18157797.2168683
"1558",2024/06/04,02:32:41pm,4.71,"905",D13,45.43301335,-73.93856101,39.019,"0","0",,"1",50093bd918887c7b,"5","7","413","413",0.251970999963425,0.0162380409333271,7000,0.0489873612607947,75,0.981881578947368,0.251970999963425,0.00766772791617163,0.376718422831755,0.00381524610762045,0.106217156326609,0.00115363622147804,2948.14631824989,6496577.85066387,16552.7383075555,23204931.9258114
"1559",2024/06/04,02:32:54pm,4.71,"905",D11,45.43298676,-73.9386421,39.019,"0","0",,"1",50093be6278a06c1,"5","6","406","406",0.246071607986656,0.0163733774782978,8184,0.0572720211061114,73,0.979263157894737,0.246071607986656,0.00999586289434072,0.367387131892578,0.00426190299756345,0.0974310359761708,0.00120950369000456,3184.06974254183,8677574.1630753,16278.380149805,24514265.7935561
"1560",2024/06/04,02:33:06pm,4.71,"905",D9,45.43296038,-73.93872333,39.02,"0","0",,"1",50093bf2355ce56d,"5","5","313","313",0.247543422423564,0.0165478222166529,6174,0.043207155004094,64,0.974657227821785,0.247543422423564,0.00740769771592568,0.374918355394323,0.0038931372029776,0.107377375978524,0.00127762046079923,2863.48708133302,5261137.60237416,16438.7706001971,25036273.049505
"1561",2024/06/04,02:33:19pm,4.71,"905",D7,45.43293318,-73.93880404,39.02,"0","0",,"1",50093bff4709aa8e,"5","4","306","306",0.251470213771268,0.0164732333047823,7466,0.0522496168408087,67,0.98314518038999,0.251470213771268,0.00869980459180505,0.371298637258254,0.00376349571898711,0.100468229340533,0.00103592432674613,3167.46553666781,6887180.80420078,16362.7540479552,22838585.7891291
"1562",2024/06/04,02:33:31pm,4.71,"905",D5,45.43290636,-73.93888497,39.02,"0","0",,"1",50093c0b5d6e7315,"5","3","213","213",0.229580545221165,0.0151646243315515,2455,0.0171808078828766,62,0.891488269891186,0.229580545221165,0.00341125502852341,0.354821336548846,0.00252899332849901,0.0972051976217759,0.000984296834129689,2808.5065504017,2075676.74346274,17045.2202705201,16785509.3222587
"1563",2024/06/04,02:33:44pm,4.71,"905",D3,45.43287938,-73.93896581,39.02,"0","0",,"1",50093c18201d5006,"5","2","206","206",0.236445205571891,0.0151750852050947,2808,0.0196512051059541,71,0.979052355952052,0.236445205571891,0.00410818582621669,0.364768697106666,0.00310288760814124,0.0976898987333999,0.000880406812629935,2711.72547098508,1585872.00490428,16582.3956389164,17107231.9743844
"1564",2024/06/04,02:33:57pm,4.71,"905",D1,45.43285247,-73.93904663,39.02,"0","0",,"1",50093c255287cdd6,"5","1","113","113",0.214914202501907,0.0138524163172764,1434,0.0100355513254766,70,0.97793392018316,0.214914202501907,0.00258073341930981,0.353026658975231,0.0018582855141843,0.0931412636507968,0.000813131157825404,2375.99449934216,1421547.42115501,16134.5829407273,12487808.7238756
"1565",2024/06/04,02:34:09pm,4.71,"905",D-1,45.43282555,-73.93912752,39.02,"0","0",,"1",50093c313a5b4233,"5","0","106","106",0.22218955780342,0.0141075996496409,2834,0.0198332995080166,99,0.985671052631579,0.22218955780342,0.00420888215296912,0.367441639217032,0.0023425848742939,0.0869857573722901,0.000836468742119998,2176.62138973063,1229748.85335806,15598.7032261823,13435092.930198
"1566",2024/06/04,02:35:04pm,4.71,"905",U-1,45.43280096,-73.93911093,39.02,"0","0",,"1",50093c68674bddc2,"6","0","107","107",0.215373142967212,0.0141877642738903,2934,0.0205327025627388,75,0.975276641096828,0.215373142967212,0.00412163723133095,0.362638078435871,0.00254855609844393,0.0818938027797707,0.000765367887568224,2213.93617646647,1140761.51201542,15627.7137903765,11895373.4201558
"1567",2024/06/04,02:35:17pm,4.71,"905",U1,45.43282726,-73.93902964,39.02,"0","0",,"1",50093c751594fd99,"6","1","114","114",0.215193272134769,0.0139690539056606,1647,0.0115261069471563,65,0.962355263157895,0.215193272134769,0.00274012009370007,0.364138197085893,0.00205671090140157,0.0985109311559568,0.000774114372380377,2367.23045915475,1322138.17291083,16274.4861303964,13488700.308848
"1568",2024/06/04,02:35:30pm,4.71,"905",U3,45.43285465,-73.93894913,39.02,"0","0",,"1",50093c8200f4da49,"6","2","207","207",0.253799939264686,0.0160252453693293,7642,0.0534802021078562,61,0.979565520598955,0.253799939264686,0.00946268554476215,0.37395282936039,0.0040342585099798,0.101475087583823,0.00101534915833411,3112.79724972882,7518067.91779918,16271.5492594227,23602865.3410387
"1569",2024/06/04,02:35:42pm,4.71,"905",U5,45.43288139,-73.93886804,39.02,"0","0",,"1",50093c8e6f31b554,"6","3","214","214",0.26172168814061,0.0174881318319214,11209,0.078443310729007,47,0.967737266614913,0.26172168814061,0.0121357239391123,0.374067818466247,0.00400793322488291,0.103462863831127,0.00106491752731386,3412.17859517261,13386018.6371217,16297.684626125,27169521.3623623
"1570",2024/06/04,02:35:55pm,4.71,"905",U7,45.43290856,-73.93878739,39.019,"0","0",,"1",50093c9b5b838619,"6","4","307","307",0.265180655290239,0.0173297104832934,10742,0.0751740788690997,50,0.966973249648022,0.265180655290239,0.0117934721067414,0.376900598100813,0.00436329806282414,0.10381537956228,0.00110236480365371,3305.45043563456,10283581.8733951,16027.1227792351,27181311.5950809
"1571",2024/06/04,02:36:07pm,4.71,"905",U9,45.43293551,-73.93870658,39.019,"0","0",,"1",50093ca71aaea32f,"6","5","314","314",0.230093758269028,0.0152601710400165,2325,0.016270916000084,66,0.977974553636041,0.230093758269028,0.0036393705536197,0.352965620533484,0.00256846270165562,0.101088602945573,0.00103182270896054,2835.46139419006,2179210.20075374,16620.2692568258,18252512.1500991
"1572",2024/06/04,02:36:20pm,4.71,"905",U11,45.43296222,-73.93862553,39.019,"0","0",,"1",50093cb463aa4ae6,"6","6","407","407",0.242932381360432,0.0166191597344322,7401,0.0517939997060738,65,0.980315789473684,0.242932381360432,0.00923404539152899,0.362757602164989,0.00404983288695022,0.0960509708142211,0.00113169651083174,3085.2775713296,7331144.86915158,16206.0546071662,21334678.5509777
"1573",2024/06/04,02:36:33pm,4.71,"905",U13,45.4329891,-73.93854462,39.019,"0","0",,"1",50093cc1072c464e,"6","7","414","414",0.233966655420421,0.0156036207041296,1878,0.0131425172329333,32,0.701005246036165,0.233966655420421,0.00336496506220884,0.365911980368872,0.00274356037643478,0.105959176981487,0.000975782993808816,2689.02602610308,2429957.88733129,17209.1798905205,17950275.2400509
