Trial,DAS,Variable,Yield_r,Yield_p
24110,8,PlantCount,0.3655256268,0.1130032888
24110,8,Thresh,0.2681530211,0.2530013631
24110,8,HA,0.2099863042,0.3742255311
24110,8,NDVI,0.1272394012,0.5929449346
24110,8,SAVI,0.1272379467,0.592949196
24110,8,GNDVI,0.0103546753,0.9654411041
24110,8,NDRE,-0.252538022,0.2827343785
24110,8,ExG,0.2688637431,0.2516973892
24110,8,ExR,-0.044176372,0.8532828629
24110,13,PlantCount,0.6156073606,0.0038580353
24110,13,Thresh,0.0471081546,0.8436571829
24110,13,HA,0.3518161731,0.1282156302
24110,13,NDVI,-0.158841181,0.5035679321
24110,13,SAVI,-0.218294102,0.3551736489
24110,13,GNDVI,-0.018690602,0.9376600633
24110,13,NDRE,-0.092900778,0.6968636735
24110,13,ExG,-0.18615702,0.4319728865
24110,13,ExR,-0.150206664,0.5273256728
24110,23,PlantCount,0.6006269899,0.0051042841
24110,23,Thresh,-0.169233891,0.4756754751
24110,23,HA,0.4084422301,0.0737897359
24110,23,NDVI,0.0630276887,0.7917944351
24110,23,SAVI,-0.229848618,0.3296280042
24110,23,GNDVI,0.1850354832,0.4348014982
24110,23,NDRE,0.3260419578,0.1606462618
24110,23,ExG,-0.383783556,0.0948208646
24110,23,ExR,-0.185445441,0.433766419
24110,27,PlantCount,0.3617548804,0.1170509145
24110,27,Thresh,0.1476833366,0.5343657061
24110,27,HA,0.4836481378,0.0307306012
24110,27,NDVI,0.2706907766,0.2483649876
24110,27,SAVI,0.2706857601,0.2483740986
24110,27,GNDVI,0.2781436196,0.2350647078
24110,27,NDRE,0.4027934509,0.0782667223
24110,27,ExG,-0.135351758,0.5693800725
24110,27,ExR,-0.433023909,0.0565028785
24110,35,PlantCount,0.0949048494,0.6906308056
24110,35,Thresh,0.4652302512,0.0387321573
24110,35,HA,-0.206770735,0.3817516107
24110,35,NDVI,0.492427865,0.027404454
24110,35,SAVI,,
24110,35,GNDVI,0.5091021627,0.0218718125
24110,35,NDRE,0.5910585123,0.0060614554
24110,35,ExG,0.1722536979,0.4677188326
24110,35,ExR,-0.368446236,0.1099381957
24110,40,PlantCount,0.0637816745,0.7893571017
24110,40,Thresh,0.3786979766,0.0996539969
24110,40,HA,0.0108177121,0.9638966549
24110,40,NDVI,0.4033627726,0.0778065713
24110,40,SAVI,0.4031457144,0.0779817694
24110,40,GNDVI,0.4366455956,0.0542419458
24110,40,NDRE,0.4635968465,0.0395130488
24110,40,ExG,0.0029453908,0.9901671272
24110,40,ExR,-0.260453235,0.2674035391
24111,8,PlantCount,0.2505513833,0.2866659326
24111,8,Thresh,0.1633838667,0.4912799501
24111,8,HA,0.2823702792,0.2277306745
24111,8,NDVI,-0.067861712,0.7762011633
24111,8,SAVI,-0.06785131,0.776234632
24111,8,GNDVI,-0.144768183,0.5425524822
24111,8,NDRE,-0.158783685,0.503724403
24111,8,ExG,-0.064097373,0.7883371316
24111,8,ExR,0.0771432716,0.7464958759
24111,13,PlantCount,0.0952469253,0.6895688141
24111,13,Thresh,0.4881280847,0.0289960156
24111,13,HA,0.4173784559,0.0671015818
24111,13,NDVI,0.4694545941,0.0367680618
24111,13,SAVI,0.4336608309,0.0561001622
24111,13,GNDVI,0.3429588573,0.1387851836
24111,13,NDRE,0.2245058642,0.3413016947
24111,13,ExG,0.5086376435,0.0220128512
24111,13,ExR,-0.332215384,0.1524099545
24111,23,PlantCount,0.0859226969,0.7187102661
24111,23,Thresh,0.5543006039,0.0112069912
24111,23,HA,0.0116179271,0.9612278501
24111,23,NDVI,0.5872849883,0.0064773511
24111,23,SAVI,0.582260159,0.0070672293
24111,23,GNDVI,0.5897927199,0.0061984438
24111,23,NDRE,0.5754796062,0.0079322669
24111,23,ExG,0.50660966,0.0226370733
24111,23,ExR,-0.440108914,0.0521449867
24111,27,PlantCount,0.2227826114,0.3451178311
24111,27,Thresh,0.5829816757,0.0069799209
24111,27,HA,0.3564198196,0.1229538327
24111,27,NDVI,0.6067051377,0.0045637307
24111,27,SAVI,0.6067055618,0.0045636947
24111,27,GNDVI,0.6344013438,0.0026614359
24111,27,NDRE,0.5204795697,0.0186355008
24111,27,ExG,0.5167905814,0.0196398856
24111,27,ExR,-0.558587464,0.0104684359
24111,35,PlantCount,0.0017877598,0.9940316676
24111,35,Thresh,0.5911207951,0.0060547797
24111,35,HA,-0.062562249,0.7932999469
24111,35,NDVI,0.6058467793,0.0046370663
24111,35,SAVI,,
24111,35,GNDVI,0.616326837,0.003805194
24111,35,NDRE,0.3243728866,0.1629247996
24111,35,ExG,0.4853885327,0.0300473358
24111,35,ExR,-0.63966144,0.0023884971
24111,40,PlantCount,0.3210860616,0.1674766919
24111,40,Thresh,0.6199511502,0.0035480422
24111,40,HA,0.3707908616,0.1075213572
24111,40,NDVI,0.5885146174,0.0063393339
24111,40,SAVI,0.5882698533,0.0063666127
24111,40,GNDVI,0.589572412,0.006222544
24111,40,NDRE,0.2500496693,0.2876641307
24111,40,ExG,0.5061680971,0.0227748313
24111,40,ExR,-0.467866135,0.0374973094
24112,8,PlantCount,0.4872104716,0.0556039638
24112,8,Thresh,0.5473064355,0.0282152225
24112,8,HA,0.5128337793,0.0422187744
24112,8,NDVI,-0.072828615,0.7886692607
24112,8,SAVI,-0.072816598,0.7887033937
24112,8,GNDVI,-0.144988273,0.592128918
24112,8,NDRE,-0.095801039,0.7241388344
24112,8,ExG,0.3489686589,0.1852530622
24112,8,ExR,0.0917725101,0.7353429364
24112,13,PlantCount,0.6278789707,0.0092080961
24112,13,Thresh,0.8039954872,0.0001743865
24112,13,HA,0.513596654,0.0418613903
24112,13,NDVI,0.6300704035,0.0088948394
24112,13,SAVI,0.2948389215,0.2676191526
24112,13,GNDVI,0.2780506183,0.2970747297
24112,13,NDRE,-0.140065331,0.6048932349
24112,13,ExG,0.6609925956,0.0053055384
24112,13,ExR,-0.598768862,0.0142569547
24112,23,PlantCount,-0.157318472,0.5606533141
24112,23,Thresh,0.7423131978,0.0009908561
24112,23,HA,0.013028235,0.9618061409
24112,23,NDVI,0.6845870295,0.0034379698
24112,23,SAVI,0.8351343317,0.0000567298
24112,23,GNDVI,0.651065604,0.0063006166
24112,23,NDRE,0.367054844,0.1619601238
24112,23,ExG,0.7727158956,0.0004494669
24112,23,ExR,-0.62250201,0.0100137291
24112,27,PlantCount,-0.368773535,0.1598541016
24112,27,Thresh,0.7294662366,0.001341402
24112,27,HA,0.0424580384,0.8759345311
24112,27,NDVI,0.7171571189,0.0017663129
24112,27,SAVI,0.717157222,0.0017663089
24112,27,GNDVI,0.7268364279,0.0014243233
24112,27,NDRE,0.7447167766,0.0009344831
24112,27,ExG,0.6897757509,0.0031090197
24112,27,ExR,-0.758197498,0.0006647977
24112,35,PlantCount,-0.643307299,0.0071773951
24112,35,Thresh,0.4640882688,0.0701653557
24112,35,HA,-0.450341822,0.0800381416
24112,35,NDVI,0.5213996615,0.0383350171
24112,35,SAVI,,
24112,35,GNDVI,0.6335236994,0.0084183712
24112,35,NDRE,0.7939005119,0.0002408128
24112,35,ExG,0.4681380535,0.0674338908
24112,35,ExR,-0.632577027,0.0085469274
24112,40,PlantCount,0.147547308,0.585537528
24112,40,Thresh,0.3710066344,0.157145305
24112,40,HA,0.228770941,0.3940804205
24112,40,NDVI,0.4270286482,0.0990092327
24112,40,SAVI,0.4271150092,0.0989335757
24112,40,GNDVI,0.602404394,0.0135290828
24112,40,NDRE,0.3830459903,0.1430733515
24112,40,ExG,0.3150232208,0.2346608998
24112,40,ExR,-0.422443173,0.1030854393
