fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,NDVI_mean,SAVI_mean,THRESH_mean,HArea_mean,PLTCOUNT
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",0.27767677019915,61465.2814934281,0.0700223961972171,0.938472874643087,77
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",0.286813185291396,60446.6705582762,0.100215475024486,0.983421052631579,81
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",0.302692726593245,63750.2496898466,0.14086842964414,0.98652649307246,66
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",0.371607373249951,69521.0772003369,0.282754477724017,0.773654916512059,29
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",0.303754957364054,64087.9163037304,0.167960613520167,0.800247371675943,41
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",0.256237137789515,64596.3318881082,0.106041907448399,0.692838063658732,31
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",0.302137202829995,63765.3948337556,0.167419750829263,0.765286385347176,23
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",0.321717343160401,67502.1905309139,0.188506767830442,0.909368421052632,44
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",0.256960142923669,65376.9248570011,0.088306735967822,0.523605263157895,18
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",0.35522890835236,71277.4716744587,0.261910047796902,0.663864108839241,24
"1528",2024/06/04,02:18:57pm,4.71,"905",D9,45.43305949,-73.93878983,39.021,"0","0",,"1",500938a125f6843f,"1","5","309","309",0.326232269455164,70374.8769091135,0.234305825813276,0.894236842105263,41
"1529",2024/06/04,02:19:09pm,4.71,"905",D7,45.43303241,-73.93887061,39.021,"0","0",,"1",500938ad2f841179,"1","4","302","302",0.33164583209807,65531.9260071825,0.220097943192948,0.928421052631579,45
"1530",2024/06/04,02:19:22pm,4.71,"905",D5,45.43300564,-73.9389516,39.021,"0","0",,"1",500938ba669012e1,"1","3","209","209",0.303868055346106,66464.7780005093,0.166499072792332,0.951276956882146,50
"1531",2024/06/04,02:19:34pm,4.71,"905",D3,45.43297856,-73.9390323,39.021,"0","0",,"1",500938c669fc4194,"1","2","202","202",0.268653289329006,61992.4211557297,0.0759059745347698,0.995644794147445,94
"1532",2024/06/04,02:19:47pm,4.71,"905",D1,45.4329516,-73.93911321,39.021,"0","0",,"1",500938d31d4cc688,"1","1","109","109",0.290414249224889,67699.0446104422,0.128346436127145,0.945828947368421,59
"1533",2024/06/04,02:20:00pm,4.71,"905",D-1,45.4329247,-73.93919406,39.021,"0","0",,"1",500938e02a9ec38d,"1","0","102","102",0.283110110058674,63717.1212071746,0.0963362955514492,0.987618746875082,109
"1534",2024/06/04,02:20:58pm,4.71,"905",U-1,45.43290041,-73.93917769,39.021,"0","0",,"1",5009391a2cd19750,"2","0","103","103",0.284777363511468,65577.1491012138,0.117152352906609,0.980092367205695,69
"1535",2024/06/04,02:21:11pm,4.71,"905",U1,45.43292639,-73.93909621,39.021,"0","0",,"1",500939272161cf8e,"2","1","110","110",0.248414443852523,63246.4198003252,0.060842708734631,0.979881578947368,62
"1536",2024/06/04,02:21:23pm,4.71,"905",U3,45.43295377,-73.93901557,39.021,"0","0",,"1",500939332035b4b3,"2","2","203","203",0.268687274889763,61150.4068978576,0.0968272727866326,0.990368167583357,98
"1537",2024/06/04,02:21:51pm,4.71,"905",U5,45.43298071,-73.93893478,39.02,"0","0",,"1",5009394f377e7978,"2","3","210","210",0.348380534343393,67838.5047306253,0.264013947019608,0.678464757042671,24
"1538",2024/06/04,02:22:04pm,4.71,"905",U7,45.43300744,-73.93885375,39.02,"0","0",,"1",5009395c17548ec5,"2","4","303","303",0.317629075434256,65682.0158797527,0.209629711853008,0.945947368421053,50
"1539",2024/06/04,02:22:17pm,4.71,"905",U9,45.43303463,-73.93877308,39.02,"0","0",,"1",500939696854b105,"2","5","310","310",0.302529349559004,67378.3275198987,0.202153430274696,0.875394736842105,37
"1540",2024/06/04,02:22:29pm,4.71,"905",U11,45.43306147,-73.93869215,39.02,"0","0",,"1",5009397538f822dd,"2","6","403","403",0.330527922531416,66034.5259680052,0.221769507019262,0.911550303955367,38
"1541",2024/06/04,02:22:42pm,4.71,"905",U13,45.43308844,-73.9386113,39.02,"0","0",,"1",50093982458e6078,"2","7","410","410",0.34957839016182,67783.8084349229,0.248183141907554,0.78278947368421,26
"1542",2024/06/04,02:27:37pm,4.71,"905",D13,45.43306279,-73.93859418,39.02,"0","0",,"1",50093aa91c5e3ec4,"3","7","411","411",0.316667407571386,68889.6429928633,0.205757716240834,0.812094577702925,40
"1543",2024/06/04,02:27:50pm,4.71,"905",D11,45.43303634,-73.93867533,39.02,"0","0",,"1",50093ab67d023af4,"3","6","404","404",0.248726729783979,63098.0912842479,0.0944772377047039,0.57874445716391,23
"1544",2024/06/04,02:28:09pm,4.71,"905",D9,45.43301019,-73.93875676,39.02,"0","0",,"1",50093ac93b20d3c3,"3","5","311","311",0.275167354801374,63798.5691711993,0.155815578293035,0.926144736842105,63
"1545",2024/06/04,02:28:21pm,4.71,"905",D7,45.43298281,-73.93883734,39.02,"0","0",,"1",50093ad5406f8ce0,"3","4","304","304",0.288363080843298,63889.8556429075,0.180100295139342,0.700096051367745,31
"1546",2024/06/04,02:28:34pm,4.71,"905",D5,45.43295598,-73.93891824,39.02,"0","0",,"1",50093ae27784cc33,"3","3","211","211",0.320046022936772,67388.6455458991,0.219430496699336,0.912489145022499,37
"1547",2024/06/04,02:28:47pm,4.71,"905",D3,45.43292895,-73.93899903,39.02,"0","0",,"1",50093aef17380c91,"3","2","204","204",0.260446252136891,64232.882578404,0.104532187608146,0.955223095040724,56
"1548",2024/06/04,02:28:59pm,4.71,"905",D1,45.43290187,-73.9390798,39.02,"0","0",,"1",50093afb12549ffc,"3","1","111","111",0.262182245513007,63119.3715181195,0.0825922298400261,0.964631578947368,81
"1549",2024/06/04,02:29:12pm,4.71,"905",D-1,45.4328751,-73.93916081,39.021,"0","0",,"1",50093b08785a7bd0,"3","0","104","104",0.296025512250803,64944.1540450539,0.128756121449559,0.981473440440006,71
"1550",2024/06/04,02:30:00pm,4.71,"905",U-1,45.43285046,-73.93914412,39.02,"0","0",,"1",50093b3805b857f6,"4","0","105","105",0.260620464793459,65359.6277636304,0.0698796596778301,0.981447368421053,76
"1551",2024/06/04,02:30:13pm,4.71,"905",U1,45.43287695,-73.93906298,39.02,"0","0",,"1",50093b45131a1f8a,"4","1","112","112",0.246338914671929,62528.5016095226,0.0514005876591577,0.997263121883183,106
"1552",2024/06/04,02:30:25pm,4.71,"905",U3,45.43290416,-73.93898236,39.02,"0","0",,"1",50093b5177614e40,"4","2","205","205",0.250373181503497,61250.5594180944,0.0784188257417468,0.981841627411248,74
"1553",2024/06/04,02:30:38pm,4.71,"905",U5,45.43293104,-73.93890134,39.02,"0","0",,"1",50093b5e4c336168,"4","3","212","212",0.275630386704242,64730.9521645446,0.134430297094352,0.955591520941065,54
"1554",2024/06/04,02:30:51pm,4.71,"905",U7,45.43295813,-73.93882066,39.02,"0","0",,"1",50093b6b45d1b542,"4","4","305","305",0.296523666422591,64030.9131238206,0.181359329803002,0.978092681771532,64
"1555",2024/06/04,02:31:03pm,4.71,"905",U9,45.43298503,-73.93873976,39.02,"0","0",,"1",50093b771410315b,"4","5","312","312",0.359879356950865,68376.5601399926,0.301571651507336,0.847697368421053,30
"1556",2024/06/04,02:31:16pm,4.71,"905",U11,45.433012,-73.93865893,39.02,"0","0",,"1",50093b8410c2a505,"4","6","405","405",0.290189703453784,66200.8739781127,0.158291326037558,0.917525230595139,42
"1557",2024/06/04,02:31:29pm,4.71,"905",U13,45.43303878,-73.93857797,39.02,"0","0",,"1",50093b9138442333,"4","7","412","412",0.268494141942074,65300.9640086713,0.118571577820148,0.928355263157895,44
"1558",2024/06/04,02:32:41pm,4.71,"905",D13,45.43301335,-73.93856101,39.019,"0","0",,"1",50093bd918887c7b,"5","7","413","413",0.329822540177003,69461.1152580443,0.222981090681153,0.894592105263158,34
"1559",2024/06/04,02:32:54pm,4.71,"905",D11,45.43298676,-73.9386421,39.019,"0","0",,"1",50093be6278a06c1,"5","6","406","406",0.349183823594139,70616.5847861574,0.257592279414165,0.611034355715207,18
"1560",2024/06/04,02:33:06pm,4.71,"905",D9,45.43296038,-73.93872333,39.02,"0","0",,"1",50093bf2355ce56d,"5","5","313","313",0.341039091115969,68897.5668327337,0.260122362896749,0.900606570966171,37
"1561",2024/06/04,02:33:19pm,4.71,"905",D7,45.43293318,-73.93880404,39.02,"0","0",,"1",50093bff4709aa8e,"5","4","306","306",0.362860836927905,69442.9643220937,0.283026875963121,0.912801484230056,48
"1562",2024/06/04,02:33:31pm,4.71,"905",D5,45.43290636,-73.93888497,39.02,"0","0",,"1",50093c0b5d6e7315,"5","3","213","213",0.308354792869063,65743.8739781127,0.185885548619636,0.741174458230813,25
"1563",2024/06/04,02:33:44pm,4.71,"905",D3,45.43287938,-73.93896581,39.02,"0","0",,"1",50093c18201d5006,"5","2","206","206",0.288813031498902,65176.6857243599,0.139060653350659,0.992986934382442,80
"1564",2024/06/04,02:33:57pm,4.71,"905",D1,45.43285247,-73.93904663,39.02,"0","0",,"1",50093c255287cdd6,"5","1","113","113",0.252988279738725,61203.8978655053,0.0658304549105131,0.978144161688466,68
"1565",2024/06/04,02:34:09pm,4.71,"905",D-1,45.43282555,-73.93912752,39.02,"0","0",,"1",50093c313a5b4233,"5","0","106","106",0.295271356554773,65060.3218021548,0.124231145935357,0.990539473684211,80
"1566",2024/06/04,02:35:04pm,4.71,"905",U-1,45.43280096,-73.93911093,39.02,"0","0",,"1",50093c68674bddc2,"6","0","107","107",0.309808629470033,65202.7910569583,0.1534669304655,0.901381578947368,52
"1567",2024/06/04,02:35:17pm,4.71,"905",U1,45.43282726,-73.93902964,39.02,"0","0",,"1",50093c751594fd99,"6","1","114","114",0.28137733570217,65198.4731601251,0.116370332160184,0.82983986631403,33
"1568",2024/06/04,02:35:30pm,4.71,"905",U3,45.43285465,-73.93894913,39.02,"0","0",,"1",50093c8200f4da49,"6","2","207","207",0.350322218411552,69752.2362620142,0.248354575846218,0.966315789473684,57
"1569",2024/06/04,02:35:42pm,4.71,"905",U5,45.43288139,-73.93886804,39.02,"0","0",,"1",50093c8e6f31b554,"6","3","214","214",0.356381889281564,69582.8888859868,0.274360263534205,0.738364978486559,26
"1570",2024/06/04,02:35:55pm,4.71,"905",U7,45.43290856,-73.93878739,39.019,"0","0",,"1",50093c9b5b838619,"6","4","307","307",0.370244961673104,71258.4679333986,0.290950048971596,0.821489190931698,36
"1571",2024/06/04,02:36:07pm,4.71,"905",U9,45.43293551,-73.93870658,39.019,"0","0",,"1",50093ca71aaea32f,"6","5","314","314",0.31336601799207,66803.6047169134,0.205196178934516,0.952656648859181,55
"1572",2024/06/04,02:36:20pm,4.71,"905",U11,45.43296222,-73.93862553,39.019,"0","0",,"1",50093cb463aa4ae6,"6","6","407","407",0.341301503523632,68794.8517028834,0.247943219807773,0.658613929130646,18
"1573",2024/06/04,02:36:33pm,4.71,"905",U13,45.4329891,-73.93854462,39.019,"0","0",,"1",50093cc1072c464e,"6","7","414","414",0.259098458669817,64675.3513375863,0.102135828506879,0.620034474137818,31
"77777",2025/04/24,,,,,,,,,,,,,,,,,0.116508860845836,,0,0.964982624966586,1
