fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,NDVI_mean,SAVI_mean,Thresh_mea,HArea_mean,PLTCOUNT
1517,2024-06-04,01:48:44pm,4.710000000000000,905,U-1,45.432950300000002,-73.93921111,39.021000000000001,0,0,,1,5009318c201f855b,0,0,101,101,0.260043267,0.520064,0.05742787,0.991131579,173.000000000000000
1519,2024-06-04,02:15:42pm,4.710000000000000,905,U1,45.432976490000001,-73.93912978,39.021000000000001,0,0,,1,500937de01a1bd1f,0,1,108,108,0.26959666,0.539169502,0.081159225,0.997671114,143.000000000000000
1520,2024-06-04,02:15:55pm,4.710000000000000,905,U3,45.433003650000003,-73.93904906,39.021000000000001,0,0,,1,500937eb32eb8e40,0,2,201,201,0.287041476,0.574057585,0.111434412,0.994197445,151.000000000000000
1521,2024-06-04,02:16:07pm,4.710000000000000,905,U5,45.433030150000000,-73.93896796,39.021000000000001,0,0,,1,500937f72fc8d1c6,0,3,208,208,0.386387849,0.772741984,0.30503855,0.935986842,86.000000000000000
1522,2024-06-04,02:16:20pm,4.710000000000000,905,U7,45.433057239999997,-73.93888717,39.021000000000001,0,0,,1,5009380464b28f42,0,4,301,301,0.301911498,0.603796521,0.170341678,0.771907895,77.000000000000000
1523,2024-06-04,02:16:32pm,4.710000000000000,905,U9,45.433084340000001,-73.93880641,39.021000000000001,0,0,,1,5009381040517900,0,5,308,308,0.251138874,0.502256061,0.083191632,0.775073028,83.000000000000000
1524,2024-06-04,02:17:01pm,4.710000000000000,905,U11,45.433110970000001,-73.93872532,39.021000000000001,0,0,,1,5009382d1f03b98f,0,6,401,401,0.314096011,0.628164412,0.184962831,0.891051198,84.000000000000000
1525,2024-06-04,02:17:13pm,4.710000000000000,905,U13,45.433137909999999,-73.93864447,39.021000000000001,0,0,,1,500938393916ae56,0,6,408,408,0.324744888,0.649461269,0.192482643,0.958171053,129.000000000000000
1526,2024-06-04,02:18:31pm,4.710000000000000,905,D13,45.433112700000002,-73.93862763,39.020000000000003,0,0,,1,500938877536384a,1,7,409,409,0.251442368,0.502863273,0.070477523,0.630768016,78.000000000000000
1527,2024-06-04,02:18:44pm,4.710000000000000,905,D11,45.433086109999998,-73.93870872,39.020000000000003,0,0,,1,50093894752ce1b7,1,6,402,402,0.371311455,0.742590437,0.276757049,0.715359008,47.000000000000000
1528,2024-06-04,02:18:57pm,4.710000000000000,905,D9,45.433059489999998,-73.93878983,39.021000000000001,0,0,,1,500938a125f6843f,1,5,309,309,0.348791934,0.697552872,0.252403226,0.945644022,123.000000000000000
1529,2024-06-04,02:19:09pm,4.710000000000000,905,D7,45.433032410000003,-73.93887061,39.021000000000001,0,0,,1,500938ad2f841179,1,4,302,302,0.327638522,0.655247709,0.208660209,0.969671452,140.000000000000000
1530,2024-06-04,02:19:22pm,4.710000000000000,905,D5,45.433005639999998,-73.9389516,39.021000000000001,0,0,,1,500938ba669012e1,1,3,209,209,0.318039371,0.636051489,0.188769935,0.962434705,93.000000000000000
1531,2024-06-04,02:19:34pm,4.710000000000000,905,D3,45.432978560000002,-73.9390323,39.021000000000001,0,0,,1,500938c669fc4194,1,2,202,202,0.265249952,0.530477142,0.07082786,0.99656588,174.000000000000000
1532,2024-06-04,02:19:47pm,4.710000000000000,905,D1,45.432951600000003,-73.93911321,39.021000000000001,0,0,,1,500938d31d4cc688,1,1,109,109,0.274506636,0.548989557,0.095186647,0.989460665,118.000000000000000
1533,2024-06-04,02:20:00pm,4.710000000000000,905,D-1,45.432924700000001,-73.93919406,39.021000000000001,0,0,,1,500938e02a9ec38d,1,0,102,102,0.277647795,0.555271404,0.098046076,0.990289474,170.000000000000000
1534,2024-06-04,02:20:58pm,4.710000000000000,905,U-1,45.432900410000002,-73.93917769,39.021000000000001,0,0,,1,5009391a2cd19750,2,0,103,103,0.268785166,0.537547044,0.091355539,0.991697368,168.000000000000000
1535,2024-06-04,02:21:11pm,4.710000000000000,905,U1,45.432926389999999,-73.93909621,39.021000000000001,0,0,,1,500939272161cf8e,2,1,110,110,0.246681827,0.493342273,0.058814502,0.987842265,97.000000000000000
1536,2024-06-04,02:21:23pm,4.710000000000000,905,U3,45.432953769999997,-73.93901557,39.021000000000001,0,0,,1,500939332035b4b3,2,2,203,203,0.274459885,0.548895651,0.10266169,0.99006592,151.000000000000000
1537,2024-06-04,02:21:51pm,4.710000000000000,905,U5,45.432980710000002,-73.93893478,39.020000000000003,0,0,,1,5009394f377e7978,2,3,210,210,0.368530231,0.737028505,0.289253662,0.935065789,84.000000000000000
1538,2024-06-04,02:22:04pm,4.710000000000000,905,U7,45.433007439999997,-73.93885375,39.020000000000003,0,0,,1,5009395c17548ec5,2,4,303,303,0.311072384,0.6221166,0.182980056,0.994763158,153.000000000000000
1539,2024-06-04,02:22:17pm,4.710000000000000,905,U9,45.433034630000002,-73.93877308,39.020000000000003,0,0,,1,500939696854b105,2,5,310,310,0.313742618,0.627457412,0.201457309,0.907867209,97.000000000000000
1540,2024-06-04,02:22:29pm,4.710000000000000,905,U11,45.433061469999998,-73.93869215,39.020000000000003,0,0,,1,5009397538f822dd,2,6,403,403,0.332291856,0.664554321,0.228827502,0.928171053,75.000000000000000
1541,2024-06-04,02:22:42pm,4.710000000000000,905,U13,45.433088439999999,-73.9386113,39.020000000000003,0,0,,1,50093982458e6078,2,7,410,410,0.370373003,0.740712424,0.282126677,0.905553874,71.000000000000000
1542,2024-06-04,02:27:37pm,4.710000000000000,905,D13,45.433062790000001,-73.93859418,39.020000000000003,0,0,,1,50093aa91c5e3ec4,3,7,411,411,0.317469007,0.634910018,0.19713079,0.977790058,133.000000000000000
1543,2024-06-04,02:27:50pm,4.710000000000000,905,D11,45.433036340000001,-73.93867533,39.020000000000003,0,0,,1,50093ab67d023af4,3,6,404,404,0.232317002,0.464614042,0.081017538,0.599323675,49.000000000000000
1544,2024-06-04,02:28:09pm,4.710000000000000,905,D9,45.433010189999997,-73.93875676,39.020000000000003,0,0,,1,50093ac93b20d3c3,3,5,311,311,0.280482074,0.560939017,0.153985452,0.938237655,134.000000000000000
1545,2024-06-04,02:28:21pm,4.710000000000000,905,D7,45.432982809999999,-73.93883734,39.020000000000003,0,0,,1,50093ad5406f8ce0,3,4,304,304,0.292255362,0.584484508,0.174663294,0.811100292,93.000000000000000
1546,2024-06-04,02:28:34pm,4.710000000000000,905,D5,45.432955980000003,-73.93891824,39.020000000000003,0,0,,1,50093ae27784cc33,3,3,211,211,0.331532002,0.663034784,0.221596769,0.939448165,83.000000000000000
1547,2024-06-04,02:28:47pm,4.710000000000000,905,D3,45.432928949999997,-73.93899903,39.020000000000003,0,0,,1,50093aef17380c91,3,2,204,204,0.253355519,0.506689263,0.076909383,0.972355627,132.000000000000000
1548,2024-06-04,02:28:59pm,4.710000000000000,905,D1,45.432901870000002,-73.9390798,39.020000000000003,0,0,,1,50093afb12549ffc,3,1,111,111,0.266839138,0.533654554,0.094822136,0.989828814,116.000000000000000
1549,2024-06-04,02:29:12pm,4.710000000000000,905,D-1,45.432875099999997,-73.93916081,39.021000000000001,0,0,,1,50093b08785a7bd0,3,0,104,104,0.276337617,0.552650478,0.10303127,0.989591968,159.000000000000000
1550,2024-06-04,02:30:00pm,4.710000000000000,905,U-1,45.432850459999997,-73.93914412,39.020000000000003,0,0,,1,50093b3805b857f6,4,0,105,105,0.248383748,0.49674579,0.06867975,0.988171053,146.000000000000000
1551,2024-06-04,02:30:13pm,4.710000000000000,905,U1,45.432876950000001,-73.93906298,39.020000000000003,0,0,,1,50093b45131a1f8a,4,1,112,112,0.238337756,0.476655059,0.047574615,0.990526565,144.000000000000000
1552,2024-06-04,02:30:25pm,4.710000000000000,905,U3,45.432904160000000,-73.93898236,39.020000000000003,0,0,,1,50093b5177614e40,4,2,205,205,0.250792583,0.50156332,0.082557319,0.989723819,146.000000000000000
1553,2024-06-04,02:30:38pm,4.710000000000000,905,U5,45.432931040000000,-73.93890134,39.020000000000003,0,0,,1,50093b5e4c336168,4,3,212,212,0.290262785,0.580500425,0.153735659,0.980394479,96.000000000000000
1554,2024-06-04,02:30:51pm,4.710000000000000,905,U7,45.432958130000003,-73.93882066,39.020000000000003,0,0,,1,50093b6b45d1b542,4,4,305,305,0.30258252,0.60513815,0.187500384,0.992157998,160.000000000000000
1555,2024-06-04,02:31:03pm,4.710000000000000,905,U9,45.432985029999998,-73.93873976,39.020000000000003,0,0,,1,50093b771410315b,4,5,312,312,0.37185907,0.743685277,0.316095764,0.996605308,103.000000000000000
1556,2024-06-04,02:31:16pm,4.710000000000000,905,U11,45.433011999999998,-73.93865893,39.020000000000003,0,0,,1,50093b8410c2a505,4,6,405,405,0.289527055,0.579028961,0.160212889,0.967157895,124.000000000000000
1557,2024-06-04,02:31:29pm,4.710000000000000,905,U13,45.433038779999997,-73.93857797,39.020000000000003,0,0,,1,50093b9138442333,4,7,412,412,0.282965857,0.565907418,0.135601336,0.952735598,98.000000000000000
1558,2024-06-04,02:32:41pm,4.710000000000000,905,D13,45.433013350000003,-73.93856101,39.018999999999998,0,0,,1,50093bd918887c7b,5,7,413,413,0.346277233,0.692523609,0.239636598,0.919394737,104.000000000000000
1559,2024-06-04,02:32:54pm,4.710000000000000,905,D11,45.432986759999999,-73.9386421,39.018999999999998,0,0,,1,50093be6278a06c1,5,6,406,406,0.360679066,0.721326606,0.27528483,0.862325324,62.000000000000000
1560,2024-06-04,02:33:06pm,4.710000000000000,905,D9,45.432960379999997,-73.93872333,39.020000000000003,0,0,,1,50093bf2355ce56d,5,5,313,313,0.330868063,0.661706455,0.232927166,0.978289759,144.000000000000000
1561,2024-06-04,02:33:19pm,4.710000000000000,905,D7,45.432933179999999,-73.93880404,39.020000000000003,0,0,,1,50093bff4709aa8e,5,4,306,306,0.362543474,0.725054195,0.282065291,0.990868421,163.000000000000000
1562,2024-06-04,02:33:31pm,4.710000000000000,905,D5,45.432906359999997,-73.93888497,39.020000000000003,0,0,,1,50093c0b5d6e7315,5,3,213,213,0.301896827,0.603767317,0.178659562,0.874828947,73.000000000000000
1563,2024-06-04,02:33:44pm,4.710000000000000,905,D3,45.432879380000003,-73.93896581,39.020000000000003,0,0,,1,50093c18201d5006,5,2,206,206,0.276445862,0.55286783,0.110581143,0.992921053,167.000000000000000
1564,2024-06-04,02:33:57pm,4.710000000000000,905,D1,45.432852470000000,-73.93904663,39.020000000000003,0,0,,1,50093c255287cdd6,5,1,113,113,0.24743962,0.4948575,0.071945537,0.989671324,120.000000000000000
1565,2024-06-04,02:34:09pm,4.710000000000000,905,D-1,45.432825549999997,-73.93912752,39.020000000000003,0,0,,1,50093c313a5b4233,5,0,106,106,0.289748894,0.579471312,0.134056881,0.995473744,175.000000000000000
1566,2024-06-04,02:35:04pm,4.710000000000000,905,U-1,45.432800960000002,-73.93911093,39.020000000000003,0,0,,1,50093c68674bddc2,6,0,107,107,0.289152671,0.578279342,0.136265139,0.986605439,137.000000000000000
1567,2024-06-04,02:35:17pm,4.710000000000000,905,U1,45.432827260000003,-73.93902964,39.020000000000003,0,0,,1,50093c751594fd99,6,1,114,114,0.260195324,0.520368461,0.091071483,0.986355263,90.000000000000000
1568,2024-06-04,02:35:30pm,4.710000000000000,905,U3,45.432854650000003,-73.93894913,39.020000000000003,0,0,,1,50093c8200f4da49,6,2,207,207,0.355845855,0.711661243,0.254821917,0.982223684,133.000000000000000
1569,2024-06-04,02:35:42pm,4.710000000000000,905,U5,45.432881389999999,-73.93886804,39.020000000000003,0,0,,1,50093c8e6f31b554,6,3,214,214,0.370732125,0.741432704,0.302200669,0.964539474,95.000000000000000
1570,2024-06-04,02:35:55pm,4.710000000000000,905,U7,45.432908560000001,-73.93878739,39.018999999999998,0,0,,1,50093c9b5b838619,6,4,307,307,0.364874237,0.729717016,0.293855126,0.98603929,143.000000000000000
1571,2024-06-04,02:36:07pm,4.710000000000000,905,U9,45.432935510000000,-73.93870658,39.018999999999998,0,0,,1,50093ca71aaea32f,6,5,314,314,0.301313307,0.602599772,0.178534597,0.988605113,121.000000000000000
1572,2024-06-04,02:36:20pm,4.710000000000000,905,U11,45.432962220000000,-73.93862553,39.018999999999998,0,0,,1,50093cb463aa4ae6,6,6,407,407,0.352179887,0.704328811,0.258254811,0.692819831,44.000000000000000
1573,2024-06-04,02:36:33pm,4.710000000000000,905,U13,45.432989100000000,-73.93854462,39.018999999999998,0,0,,1,50093cc1072c464e,6,7,414,414,0.25888628,0.517750507,0.091784118,0.705132535,66.000000000000000
77777,2025-04-24,,,,,,,,,,,,,,,,,0.130018526,0.260020226,0,,0
