trial_id,Site,Trial,n_plots,n_entries,cv_nocov,h2_nocov,var_g_nocov,var_e_nocov,cv_ha,h2_ha,var_g_ha,var_e_ha,cv_nn_sum,h2_nn_sum,var_g_nn_sum,var_e_nn_sum,cv_nn_var,h2_nn_var,var_g_nn_var,var_e_nn_var,cv_both_nn,h2_both_nn,var_g_both_nn,var_e_both_nn,cv_ha_nn_sum,h2_ha_nn_sum,var_g_ha_nn_sum,var_e_ha_nn_sum,cv_ha_nn_var,h2_ha_nn_var,var_g_ha_nn_var,var_e_ha_nn_var,cv_all3,h2_all3,var_g_all3,var_e_all3,delta_cv_ha,delta_h2_ha,delta_cv_nn_sum,delta_h2_nn_sum,delta_cv_nn_var,delta_h2_nn_var,delta_cv_both_nn,delta_h2_both_nn,delta_cv_ha_nn_sum,delta_h2_ha_nn_sum,delta_cv_ha_nn_var,delta_h2_ha_nn_var,delta_cv_all3,delta_h2_all3
SVREC_2501,SVREC_2025,2501,120,30,9.847186487297375,0.6794479603343081,150660.4389334932,71079.043306418,9.736088818516144,0.6843701181392008,150660.4389334932,69484.23854473779,9.757992746145941,0.6833984726539114,150660.4389334932,69797.23687666489,9.81697309969273,0.6807850454020438,150660.4389334932,70643.53939423183,9.714547557055015,0.685326235850917,150660.4389334932,69177.10857616794,9.723099251536187,0.6849465993560011,150660.4389334932,69298.95509101442,9.659298726544337,0.6877809700446925,150660.4389334932,68392.49433347867,9.651058717715525,0.6881473803047191,150660.4389334932,68275.85762957607,0.1110976687812304,0.004922157804892691,0.08919374115143341,0.003950512319603305,0.030213387604645092,0.001337085067735666,0.13263893024235962,0.005878275516608911,0.12408723576118774,0.005498639021693008,0.18788776075303737,0.00833300971038442,0.19612776958184952,0.008699419970411015
SVREC_2502,SVREC_2025,2502,144,36,11.624957285287786,0.3747667667736433,53605.01545821848,89430.65421895853,11.465005115123681,0.3812818324385176,53605.01545821848,86986.56509358341,11.613884833734325,0.37521344624163705,53605.01545821848,89260.37488202244,11.598752733839568,0.3758249314008479,53605.01545821848,89027.9260510407,11.591617287157971,0.3761136879346858,53605.01545821848,88918.42141155928,11.385811803624513,0.38455747004981194,53605.01545821848,85789.0143893229,11.436624810887764,0.3824518829358684,53605.01545821848,86556.44759099666,11.368619794324255,0.38527298826264833,53605.01545821848,85530.13569770646,0.15995217016410557,0.006515065664874309,0.011072451553461704,0.00044667946799376024,0.026204551448218538,0.0010581646272045941,0.03333999812981503,0.0013469211610425136,0.23914548166327343,0.009790703276168655,0.18833247440002232,0.007685116162225114,0.2563374909635314,0.010506221489005041
SVREC_2503,SVREC_2025,2503,120,40,10.268729668442592,0.6779447911166057,119415.07844943542,56727.698977548585,10.26715047987607,0.6780119466100024,119415.07844943542,56710.252448493244,10.267968355631126,0.6779771658133107,119415.07844943542,56719.2878255459,10.267159746043045,0.6780115525546431,119415.07844943542,56710.354811248435,10.266834707089608,0.6780253753045565,119415.07844943542,56706.76418189139,10.267148322333568,0.678012038362215,119415.07844943542,56710.22861427218,10.266656692026723,0.6780329457050428,119415.07844943542,56704.79773927008,10.266647814015272,0.6780333232589263,119415.07844943542,56704.69966924766,0.0015791885665219496,6.715549339675331e-05,0.000761312811466297,3.237469670502868e-05,0.001569922399546897,6.676143803741041e-05,0.0018949613529848364,8.058418795087174e-05,0.00158134610902394,6.724724560935869e-05,0.002072976415869121,8.81545884371393e-05,0.002081854427320451,8.853214232062978e-05
SVREC_2504,SVREC_2025,2504,96,32,9.716829352870414,0.6661055117701032,109143.84001589534,54709.840951039485,9.589542847025465,0.6719450281739415,109143.84001589534,53285.87586800888,9.715550579955929,0.666164052847959,109143.84001589534,54695.441838608494,9.701694807995151,0.6667985230650358,109143.84001589534,54539.54595532711,9.701551845735487,0.6668050710308435,109143.84001589534,54537.93859920285,9.549934654560309,0.673767143016084,109143.84001589534,52846.6060116722,9.582932279496115,0.6722489751969453,109143.84001589534,53212.435773026526,9.520931271470033,0.6751028645338422,109143.84001589534,52526.100595686934,0.12728650584494972,0.005839516403838285,0.0012787729144854154,5.8541077855744916e-05,0.01513454487526289,0.0006930112949325995,0.015277507134927149,0.000699559260740279,0.16689469831010584,0.007661631245980738,0.13389707337429968,0.006143463426842022,0.19589808140038123,0.00899735276373892
SVREC_2506,SVREC_2025,2506,192,32,9.748731352385859,0.7915907700995718,265591.41590238485,69924.6435748838,9.720280706801718,0.7925534576339469,265591.41590238485,69517.10371125661,9.744933254717369,0.7917193140378204,265591.41590238485,69870.16902201374,9.747274067066162,0.7916400918806258,265591.41590238485,69903.73982102476,9.743409093219139,0.7917708958602759,265591.41590238485,69848.31456890778,9.70413426447227,0.7930995940143538,265591.41590238485,69286.34460442237,9.719883835104119,0.7925668832608475,265591.41590238485,69511.42716578067,9.703853490254422,0.7931090895269065,265591.41590238485,69282.3352745326,0.028450645584140233,0.0009626875343751173,0.0037980976684899304,0.0001285439382485709,0.0014572853196970215,4.932178105399032e-05,0.0053222591667196895,0.00018012576070414177,0.04459708791358885,0.0015088239147820204,0.028847517281739954,0.0009761131612756602,0.044877862131436075,0.0015183194273347134
SVREC_2507,SVREC_2025,2507,72,18,8.843291537112032,0.7092900338197058,153056.36206625018,62731.75671218951,8.791686414838077,0.7116976947579787,153056.36206625018,62001.74925487587,8.813055070516281,0.7107004605058045,153056.36206625018,62303.5125528266,8.840785587186046,0.7094068982191055,153056.36206625018,62696.20877917398,8.793944495716719,0.7115922967453719,153056.36206625018,62033.60274406044,8.790271051864423,0.7117637602485094,153056.36206625018,61981.7876883976,8.758271045331306,0.7132578673471368,153056.36206625018,61531.333454756794,8.753133295696369,0.713497828708585,153056.36206625018,61459.16399117137,0.05160512227395486,0.0024076609382729375,0.030236466595750855,0.001410426686098698,0.002505949925986073,0.00011686439939972981,0.049347041395312985,0.002302262925666154,0.05302048524760927,0.002473726428803613,0.08502049178072646,0.0039678335274310195,0.0901582414156632,0.004207794888879235
SVREC_2508,SVREC_2025,2508,96,32,11.268241756278087,0.8556656419505251,458432.38965632214,77328.73850035669,11.254720812765548,0.855961950638935,458432.38965632214,77143.27385783778,11.08165730652001,0.859741097045967,458432.38965632214,74789.0548360673,11.264584718155216,0.8557458000384461,458432.38965632214,77278.55351830534,11.079693087747874,0.8597838431328033,458432.38965632214,74762.54453309836,10.887463810848248,0.8639508577420636,458432.38965632214,72190.83450996396,11.241207062337079,0.8562579509729267,458432.38965632214,76958.13037963955,10.810855478127614,0.8656022979946396,458432.38965632214,71178.4844349122,0.013520943512538963,0.00029630868840990754,0.18658444975807775,0.004075455095441938,0.0036570381228706594,8.015808792105616e-05,0.18854866853021335,0.004118201182278236,0.38077794542983945,0.008285215791538514,0.027034693941008214,0.0005923090224015937,0.45738627815047295,0.009936656044114534
SVREC_2509,SVREC_2025,2509,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVREC_2510,SVREC_2025,2510,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVREC_2511,SVREC_2025,2511,67,23,11.862998591827262,0.8970221558181856,464687.1965891749,53345.935117954104,11.633092402816105,0.9005819456006378,464687.1965891749,51298.27131764014,11.525206599887564,0.9022379708715776,464687.1965891749,50351.198591953376,11.661798866073953,0.9001397390046542,464687.1965891749,51551.75660159431,11.492976526605762,0.9027308760709705,464687.1965891749,50069.97956023418,11.525044609658655,0.9022404503454976,464687.1965891749,50349.783199561985,11.614470373025469,0.9008684562248932,464687.1965891749,51134.16820414429,11.45843991434847,0.9032581193677416,464687.1965891749,49769.50922426907,0.22990618901115667,0.003559789782452194,0.33779199193969767,0.005215815053392081,0.2011997257533089,0.0031175831864685977,0.37002206522149983,0.005708720252784905,0.3379539821686066,0.00521829452731204,0.248528218801793,0.0038463004067076367,0.4045586774787928,0.006235963549556023
SVREC_2512,SVREC_2025,2512,71,32,15.09932849030527,0.5547325104476358,160513.1725900946,128839.2081827036,11.5411294373231,0.6807622756050712,160513.1725900946,75271.29776327247,13.111417955402208,0.6229631585721771,160513.1725900946,97147.60619173344,12.411221566517588,0.6483762206289266,160513.1725900946,87048.60941726589,12.320550345514505,0.6517122491929371,160513.1725900946,85781.37349043372,11.475777762076977,0.6832253939234635,160513.1725900946,74421.26342133337,11.41247928342753,0.6856147023647083,160513.1725900946,73602.53705918687,11.305706806028567,0.6896526960369074,160513.1725900946,72231.76339360318,3.55819905298217,0.12602976515743536,1.9879105349030617,0.06823064812454127,2.6881069237876822,0.0936437101812908,2.778778144790765,0.0969797387453013,3.6235507282282935,0.12849288347582766,3.6868492068777403,0.1308821919170725,3.7936216842767028,0.13492018558927155
SVREC_2513,SVREC_2025,2513,68,23,9.837063798660308,0.8575471956166194,300942.06575065106,49991.46570852257,9.763763580615688,0.8593647911806482,300942.06575065106,49249.22535076618,9.557406061144464,0.8644493445993799,300942.06575065106,47189.455929337666,9.780300123734696,0.8589552574363915,300942.06575065106,49416.189985314144,9.484715073042532,0.866228647899,300942.06575065106,46474.36578918889,9.55155335507049,0.8645928363488823,300942.06575065106,47131.67844263796,9.749573689055756,0.8597159674598774,300942.06575065106,49106.17941550128,9.476389706224788,0.8664320315570689,300942.06575065106,46392.814297385405,0.07330021804462028,0.0018175955640288288,0.2796577375158442,0.0069021489827605365,0.056763674925612406,0.001408061819772044,0.35234872561777664,0.008681452282380597,0.2855104435898177,0.007045640732262881,0.08749010960455195,0.0021687718432580327,0.36067409243552007,0.008884835940449531
SVREC_2514,SVREC_2025,2514,120,60,12.693617583912742,0.7788489029539493,319951.04423499375,90848.84650313496,12.630098508104131,0.7805722112153828,319951.04423499375,89941.90306429185,12.650093807459353,0.7800298387281084,319951.04423499375,90226.91095284323,12.692707945355403,0.7788735891378769,319951.04423499375,90835.82631372084,12.6498473225918,0.7800365252611119,319951.04423499375,90223.39487590856,12.47387553022407,0.7848059869304607,319951.04423499375,87730.66253483966,12.61884999471029,0.7808772811190784,319951.04423499375,89781.76778441937,12.45322542212469,0.7853650915335809,319951.04423499375,87440.43226955264,0.06351907580861038,0.0017233082614335204,0.04352377645338912,0.0011809357741591198,0.0009096385573386101,2.4686183927591365e-05,0.04377026132094208,0.001187622307162628,0.2197420536886714,0.005957083976511401,0.07476758920245175,0.00202837816512913,0.24039216178805134,0.006516188579631654
LODS25_25104,LODS_2025,25104,20,5,22.86520102745147,0.19115617929673848,47345.34210526316,200333.50499999998,21.905157378513398,0.20477276985979026,47345.34210526316,183863.82763776928,22.420769223727287,0.1972995909249095,47345.34210526316,192621.41040200577,22.521192067355162,0.19588788389215014,47345.34210526316,194350.78102673235,22.415716126526142,0.19737099533122412,47345.34210526316,192534.5958046062,21.653315157739208,0.20856452345350518,47345.34210526316,179660.38888530846,21.746087424349565,0.2071566374496243,47345.34210526316,181203.17407142202,21.653092388840204,0.20856791987004197,47345.34210526316,179656.69221892196,0.9600436489380719,0.013616590563051784,0.4444318037241821,0.0061434116281710305,0.344008960096307,0.004731704595411668,0.4494849009253272,0.0062148160344856485,1.2118858697122619,0.017408344156766703,1.1191136031019049,0.01600045815288581,1.2121086386112658,0.017411740573303497
LODS25_25105,LODS_2025,25105,13,5,10.525671305717852,0.844322642377308,66917.66826923077,12338.370726495732,3.3399323364664912,0.9817734682504707,66917.66826923077,1242.320193768406,10.34977360482436,0.848701661072009,66917.66826923077,11929.43588831968,10.525021027419443,0.844338883209466,66917.66826923077,12336.846239050667,10.33310145456631,0.8491152240099091,66917.66826923077,11891.033279205772,3.3396622607928665,0.9817763621059846,66917.66826923077,1242.119287364408,3.3398959285007126,0.9817738583737576,66917.66826923077,1242.293109324758,3.3396621952279277,0.9817763628084852,66917.66826923077,1242.1192385933236,7.185738969251361,0.1374508258731627,0.17589770089349166,0.00437901869470092,0.0006502782984085798,1.6240832158009866e-05,0.1925698511515428,0.004792581632601101,7.186009044924985,0.1374537197286766,7.185775377217139,0.1374512159964496,7.186009110489924,0.1374537204311772
LODS25_25106,LODS_2025,25106,16,4,19.238041469940466,0.4365109499182544,56253.9,72617.78125000001,15.205119398979505,0.5535885108926292,56253.9,45362.91265619814,17.843097469350575,0.4738267895341115,56253.9,62468.597846336306,18.303717517844703,0.46113766368089676,56253.9,65735.48501567983,16.39244135537013,0.5161953772892359,56253.9,52724.02284660403,15.176040341981073,0.5545344624616304,56253.9,45189.56980759982,14.992784078271473,0.5605283970802243,56253.9,44104.79778056722,14.989063652897606,0.5606506641707049,56253.9,44082.911485292425,4.032922070960961,0.11707756097437477,1.3949440005898914,0.037315839615857105,0.9343239520957631,0.02462671376264236,2.8456001145703347,0.07968442737098153,4.062001127959393,0.11802351254337601,4.245257391668993,0.12401744716196988,4.24897781704286,0.12413971425245046
LODS25_25107,LODS_2025,25107,21,7,20.946975613456452,0.49823107565248226,192597.86479502643,193965.46737529378,20.944447712196197,0.4982914190471333,192597.86479502643,193918.6543200833,20.946974846998256,0.4982310939474531,192597.86479502643,193965.45318074638,20.642146311673905,0.5055605143413459,192597.86479502643,188361.20801932635,20.416713581914976,0.511049476612269,192597.86479502643,184269.49073334955,20.940469874297772,0.4983863886501406,192597.86479502643,193845.0019868493,20.5044270214281,0.5089068553234208,192597.86479502643,185856.19370380536,20.41292660853929,0.5111421815292951,192597.86479502643,184201.13899446628,0.0025279012602545947,6.034339465105232e-05,7.664581964661465e-07,1.8294970816068457e-08,0.3048293017825472,0.007329438688863599,0.5302620315414757,0.012818400959786702,0.006505739158679802,0.00015531299765836337,0.44254859202835206,0.010675779670938579,0.5340490049171613,0.012911105876812878
LODS25_25110,LODS_2025,25110,43,15,30.469217167631534,0.46682987578436025,81613.01781333245,93210.87852836493,30.43693268137913,0.4673576493028554,81613.01781333245,93013.45494275136,30.235222930416455,0.47066946583846186,81613.01781333245,91784.71400669342,30.469027768686768,0.4668329701542843,81613.01781333245,93209.71972030842,30.233039604297986,0.47070544871860953,81613.01781333245,91771.45868997906,29.86116548787986,0.47687663113533735,81613.01781333245,89527.71856334842,30.421295263062042,0.46761351103439375,81613.01781333245,92917.90545447209,29.728348807723236,0.479101171607777,81613.01781333245,88733.08578615137,0.03228448625240432,0.0005277735184951449,0.23399423721507873,0.003839590054101616,0.00018939894476588393,3.0943699240726374e-06,0.23617756333354833,0.003875572934249283,0.6080516797516751,0.010046755350977099,0.04792190456949186,0.0007836352500334987,0.7408683599082977,0.012271295823416739
LODS25_25111,LODS_2025,25111,41,14,20.27912208203407,0.23554697031180188,69074.13401504503,224175.80218073426,20.062210290764167,0.23944177631763502,69074.13401504503,219405.7422928124,19.903631190661216,0.24234407582497608,69074.13401504503,215950.92294129348,20.27660641331289,0.23559165081535569,69074.13401504503,224120.186649492,19.891746152048174,0.24256349069144997,69074.13401504503,215693.09875416823,19.87919764009843,0.24279544320092544,69074.13401504503,215421.0488615245,19.86746895637047,0.24301251036627117,69074.13401504503,215166.927940719,19.78868835291056,0.24447728924596485,69074.13401504503,213463.90552265046,0.21691179126990434,0.00389480600583314,0.37549089137285563,0.006797105513174195,0.002515668721180475,4.4680503553801154e-05,0.38737592998589676,0.007016520379648089,0.39992444193564225,0.007248472889123558,0.41165312566360157,0.007465540054469283,0.49043372912350947,0.008930318934162962
LODS25_25112,LODS_2025,25112,12,4,6.109875005341543,0.9807755206866668,459098.5176227352,8998.92969253647,4.6678761754092,0.9886885449648795,459098.5176227352,5252.485492248249,6.1056697074928,0.9808014672976385,459098.5176227352,8986.546409306122,6.079329875316789,0.9809636082958332,459098.5176227352,8909.17781083791,6.0787678309166004,0.9809670610359634,459098.5176227352,8907.530549665255,4.2058300256329195,0.9907974406426852,459098.5176227352,4264.122196902271,4.554275950828879,0.9892265508863277,459098.5176227352,4999.94112909661,4.1632393654369375,0.9909812053688879,459098.5176227352,4178.197551532948,1.4419988299323432,0.00791302427821261,0.004205297848742795,2.5946610971661066e-05,0.030545130024753675,0.00018808760916633194,0.031107174424942485,0.0001915403492965817,1.9040449797086234,0.01002191995601831,1.5555990545126637,0.00845103019966087,1.9466356399046054,0.01020568468222105
LODS25_25113,LODS_2025,25113,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LODS25_25114,LODS_2025,25114,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LODS24_24110,LODS_2024,24110,20,5,5.3482210139861355,0.6279839775271122,16164.615789473683,9575.875000000004,5.328704980918986,0.6296904836886291,16164.615789473683,9506.116432464742,5.289809692890467,0.6331004880259177,16164.615789473683,9367.848795851265,5.317233233124654,0.6306949940838549,16164.615789473683,9465.23055638854,5.1766188694747735,0.643090099425249,16164.615789473683,8971.23345454444,5.289656593234874,0.6331139338332036,16164.615789473683,9367.30654811353,5.290309394857546,0.6330566035216888,16164.615789473683,9369.618747454066,5.166786874013443,0.6439623312081336,16164.615789473683,8937.187539841174,0.01951603306714933,0.0017065061615169075,0.05841132109566871,0.00511651049880546,0.030987780861481795,0.0027110165567426625,0.17160214451136202,0.01510612189813676,0.05856442075126189,0.0051299563060913655,0.05791161912858911,0.005072625994576585,0.18143413997269242,0.015978353681021407
LODS24_24111,LODS_2024,24111,20,5,14.267670485165423,0.5181006796901322,12103.226315789474,11257.535,13.908929332300959,0.5308021090019426,12103.226315789474,10698.541255456516,14.207760870002076,0.520201498575607,12103.226315789474,11163.193233039197,14.213460153229882,0.5200012935360817,12103.226315789474,11172.151007766472,14.143222848216377,0.5224737472807088,12103.226315789474,11062.007112267898,13.676568568469213,0.5391841423357558,12103.226315789474,10344.070192891346,13.841185886264814,0.5332332938684649,12103.226315789474,10594.580544663306,13.627767085651326,0.5409599784741643,12103.226315789474,10270.381339859881,0.3587411528644644,0.012701429311810397,0.05990961516334714,0.0021008188854748644,0.05421033193554159,0.001900613845949528,0.12444763694904637,0.004373067590576651,0.5911019166962106,0.021083462645623663,0.4264845989006094,0.01513261417833267,0.6399033995140968,0.022859298784032145
LODS24_24112,LODS_2024,24112,16,4,15.157512532268038,0.8677705548987649,49720.4,7576.3125,14.818297631484862,0.8728788044140469,49720.4,7241.001455241782,14.993819801052382,0.8702425552190409,49720.4,7413.55616177989,14.137027838707237,0.8829622993882577,49720.4,6590.498024126015,13.957056375240814,0.8855844526128035,49720.4,6423.765419013771,14.789270890321413,0.8733133070773705,49720.4,7212.661247393833,13.83277389785477,0.8873845875247645,49720.4,6309.872216793987,13.825547649889003,0.8874889828200883,49720.4,6303.281378002324,0.3392149007831762,0.005108249515281993,0.1636927312156562,0.0024720003202760576,1.0204846935608014,0.015191744489492787,1.200456157027224,0.01781389771403863,0.368241641946625,0.00554275217860567,1.3247386344132686,0.01961403262599959,1.3319648823790349,0.01971842792132339
