BARCODE_128,ENTRY,BLOCK,Locn,Check,Experiment Name,Year,Plot,Identity1,Description1,Name1,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Planting Date,Flowering Date,Days to Flowering,Maturity Date,Days to Maturity,100SW,Name 2,Planter
10EDB7D180,1,1,LODS,0,25105McGill Farm,2025,21,,white kidney,PVKIPI19 4,4,1,61.000,14.4,453.0000,622,,2025-07-28,-2147483648.00,2025-09-19,-2147483648,63.68,,4
1F33742763,2,1,LODS,0,25105McGill Farm,2025,22,,red kidney,PVKIPI19 10,4,2,-9.000,13.0,-9.0000,13,,2025-08-01,-2147483648.00,2025-10-07,-2147483648,-9.55,,13
10CADB6979,3,1,LODS,1,25105McGill Farm,2025,23,,dark red kidney,Redhawk,4,3,68.000,16.4,269.0000,361,,2025-07-30,-2147483648.00,2025-09-22,-2147483648,69.33,,20
1C2BE7E1B5,4,1,LODS,2,25105McGill Farm,2025,24,Snowdon,Control-01,Snowdon,4,4,-9.000,12.0,-9.0000,13,,2025-07-25,-2147483648.00,2025-09-22,-2147483648,-9.66,,29
16B67496BE,5,1,LODS,3,25105McGill Farm,2025,25,,red kidney,Coho,4,5,-9.000,15.1,-9.0000,12,,2025-07-30,-2147483648.00,2025-09-29,-2147483648,-9.32,,36
17542F0075,3,2,LODS,1,25105McGill Farm,2025,26,,dark red kidney,Redhawk,4,6,60.000,15.6,446.0000,604,,2025-07-28,-2147483648.00,2025-09-16,-2147483648,61.76,,45
10F210ED64,2,2,LODS,0,25105McGill Farm,2025,27,,red kidney,PVKIPI19 10,4,7,73.000,17.0,1074.0000,1430,,2025-08-01,-2147483648.00,2025-09-22,-2147483648,73.89,,52
161C4AA1F0,4,2,LODS,2,25105McGill Farm,2025,28,Snowdon,Control-01,Snowdon,4,8,74.000,14.9,838.0000,1144,,2025-07-25,-2147483648.00,2025-09-16,-2147483648,76.80,,61
1F9DCB83D0,1,2,LODS,0,25105McGill Farm,2025,29,,white kidney,PVKIPI19 4,4,9,67.000,14.9,615.0000,840,,2025-07-28,-2147483648.00,2025-09-16,-2147483648,69.53,,68
1D9E7C3226,5,2,LODS,3,25105McGill Farm,2025,30,,red kidney,Coho,5,9,-9.000,14.2,-9.0000,12,,2025-07-30,-2147483648.00,2025-09-29,-2147483648,-9.42,,69
1E64EE7C1A,4,3,LODS,2,25105McGill Farm,2025,31,Snowdon,Control-01,Snowdon,5,8,-9.000,12.5,-9.0000,13,,2025-07-25,-2147483648.00,2025-09-16,-2147483648,-9.60,,60
1871BE5911,2,3,LODS,0,25105McGill Farm,2025,32,,red kidney,PVKIPI19 10,5,7,73.000,16.9,1196.0000,1595,,2025-07-31,-2147483648.00,2025-09-26,-2147483648,73.98,,53
1E582CF171,1,3,LODS,0,25105McGill Farm,2025,33,,white kidney,PVKIPI19 4,5,6,69.000,15.3,1142.0000,1552,,2025-07-28,-2147483648.00,2025-09-16,-2147483648,71.27,,44
1AF1CDF148,3,3,LODS,1,25105McGill Farm,2025,34,,dark red kidney,Redhawk,5,5,64.000,16.3,932.0000,1252,,2025-07-30,-2147483648.00,2025-09-17,-2147483648,65.33,,37
1A953A3EEC,5,3,LODS,3,25105McGill Farm,2025,35,,red kidney,Coho,5,4,71.000,17.1,964.0000,1282,,2025-07-31,-2147483648.00,2025-09-26,-2147483648,71.78,,28
1E63DE7F04,5,4,LODS,3,25105McGill Farm,2025,36,,red kidney,Coho,5,3,-9.000,12.4,-9.0000,13,,2025-07-30,-2147483648.00,2025-09-26,-2147483648,-9.61,,21
1FC62DE4CA,2,4,LODS,0,25105McGill Farm,2025,37,,red kidney,PVKIPI19 10,5,2,73.000,15.5,818.0000,1109,,2025-07-30,-2147483648.00,2025-09-29,-2147483648,75.23,,12
1E27EDEAE7,4,4,LODS,2,25105McGill Farm,2025,38,Snowdon,Control-01,Snowdon,5,1,-9.000,11.5,-9.0000,13,,2025-07-25,-2147483648.00,2025-09-16,-2147483648,-9.71,,5
1641C41348,1,4,LODS,0,25105McGill Farm,2025,39,,white kidney,PVKIPI19 4,6,1,64.000,14.7,904.0000,1237,,2025-07-25,-2147483648.00,2025-09-16,-2147483648,66.58,,6
18A44C8612,3,4,LODS,1,25105McGill Farm,2025,40,,dark red kidney,Redhawk,6,2,67.000,16.7,517.0000,691,,2025-07-30,-2147483648.00,2025-09-16,-2147483648,68.06,,11