BARCODE_128,ENTRY,BLOCK,Locn,Check,Experiment Name,Year,Plot,Identity1,Description1,Name1,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Planting Date,Flowering Date,Maturity Date,Name 2,Planter
140277D9B2,1,1,LODS,1,25111,2025,1,BC354,Phaseolus vulgaris,T9905,1,1,33.000,13.4,1952.0000,,2025-07-31,2025-09-16,,1
16EBAEECF2,2,1,LODS,2,25111,2025,2,,,PVBLPI19-1,1,2,29.000,16.9,1973.0000,,2025-07-28,2025-09-16,,18
12048CC27C,3,1,LODS,3,25111,2025,3,,,PVBL19-10,1,3,14.700,16.8,1878.0000,,2025-07-31,2025-09-24,,19
13145EAD6D,4,1,LODS,4,25111,2025,4,BC088,Phaseolus vulgaris,Zorro,1,4,28.000,17.2,1452.0000,,2025-08-04,2025-09-24,,36
116BC24EDB,5,1,LODS,0,25111,2025,5,n,1,PVNVLO24-049,1,5,28.000,17.1,1934.0000,,2025-08-03,2025-09-24,,37
1F1A359B46,6,1,LODS,0,25111,2025,6,n,1,PVNVLO24-039,1,6,28.000,18.4,1221.0000,,2025-08-01,2025-09-22,,54
1601DBA043,7,1,LODS,0,25111,2025,7,n,1,PVNVLO24-035,1,7,27.000,17.8,834.0000,,2025-07-28,2025-09-16,,55
1ACD1B4033,8,1,LODS,0,25111,2025,8,n,1,PVNVLO24-020,1,8,28.000,17.5,1323.0000,,2025-07-28,2025-09-16,,72
1C42C2F3E3,9,1,LODS,0,25111,2025,9,n,1,PVNVLO24-009,1,9,32.000,18.7,2174.0000,,2025-08-02,2025-09-24,,73
14AB4761CB,10,1,LODS,0,25111,2025,10,b,1,PVBLLO24-028,1,10,31.000,13.1,1356.0000,,2025-08-04,2025-09-24,,90
196BD8CEC9,11,1,LODS,0,25111,2025,11,b,1,PVBLLO24-026,2,10,29.000,12.5,1520.0000,,2025-08-04,2025-09-22,,89
1CCABF5F32,12,1,LODS,0,25111,2025,12,b,1,PVBLLO24-040,2,9,30.000,15.4,1789.0000,,2025-08-04,2025-09-18,,74
1B4CB815F4,13,1,LODS,0,25111,2025,13,b,1,PVBLLO24-033,2,8,30.000,17.3,2099.0000,,2025-08-04,2025-09-24,,71
1937A422F8,14,1,LODS,0,25111,2025,14,b,1,PVBLLO24-001,2,7,28.000,15.9,1624.0000,,2025-08-05,2025-09-24,,56
12A4F170DF,13,2,LODS,0,25111,2025,15,b,1,PVBLLO24-033,2,6,29.000,14.2,961.0000,,2025-08-02,2025-09-19,,53
1B8E673CE8,3,2,LODS,3,25111,2025,16,,,PVBL19-10,2,5,30.000,16.5,2088.0000,,2025-08-05,2025-09-22,,38
18CD375500,9,2,LODS,0,25111,2025,17,n,1,PVNVLO24-009,2,4,32.000,19.5,2055.0000,,2025-08-05,2025-09-19,,35
1E0600C8B0,7,2,LODS,0,25111,2025,18,n,1,PVNVLO24-035,2,3,29.000,16.9,1217.0000,,2025-08-02,2025-09-16,,20
1B92968141,5,2,LODS,0,25111,2025,19,n,1,PVNVLO24-049,2,2,27.000,16.7,1687.0000,,2025-08-06,2025-09-19,,17
1098437351,14,2,LODS,0,25111,2025,20,b,1,PVBLLO24-001,2,1,31.000,13.0,2058.0000,,2025-08-04,2025-09-17,,2
1F2C21DBD0,4,2,LODS,4,25111,2025,21,BC088,Phaseolus vulgaris,Zorro,3,1,33.000,14.3,1289.0000,,2025-08-11,2025-10-07,,3
19379B8C70,2,2,LODS,2,25111,2025,22,,,PVBLPI19-1,3,2,29.000,16.0,1529.0000,,2025-07-31,2025-09-16,,16
1CED7FB660,6,2,LODS,0,25111,2025,23,n,1,PVNVLO24-039,3,3,30.000,16.9,1258.0000,,2025-08-04,2025-09-22,,21
1292CCD5FF,8,2,LODS,0,25111,2025,24,n,1,PVNVLO24-020,3,4,34.000,16.9,1979.0000,,2025-08-02,2025-09-22,,34
1755410238,11,2,LODS,0,25111,2025,25,b,1,PVBLLO24-026,3,5,30.000,16.2,1514.0000,,2025-08-01,2025-09-17,,39
13C044D1CA,10,2,LODS,0,25111,2025,26,b,1,PVBLLO24-028,3,6,33.000,16.6,1393.0000,,2025-07-30,2025-09-17,,52
1169103AE0,1,2,LODS,1,25111,2025,27,BC354,Phaseolus vulgaris,T9905,3,7,30.000,16.0,2164.0000,,2025-07-30,2025-09-22,,57
1FEB395C90,12,2,LODS,0,25111,2025,28,b,1,PVBLLO24-040,3,8,26.000,15.7,2358.0000,,2025-08-05,2025-09-24,,70
104BD91D4E,5,3,LODS,0,25111,2025,29,n,1,PVNVLO24-049,3,9,32.000,14.7,2520.0000,,2025-08-02,2025-09-22,,75
1DAC8DDF66,3,3,LODS,3,25111,2025,30,,,PVBL19-10,3,10,,,,,2025-08-04,2025-09-24,,88
1C0BC75EEB,7,3,LODS,0,25111,2025,31,n,1,PVNVLO24-035,4,10,34.000,13.2,2160.0000,,2025-08-06,2025-09-30,,87
18C0AE93C0,8,3,LODS,0,25111,2025,32,n,1,PVNVLO24-020,4,9,26.000,16.8,2238.0000,,2025-07-30,2025-09-17,,76
13C0A4B7A0,4,3,LODS,4,25111,2025,33,BC088,Phaseolus vulgaris,Zorro,4,8,27.000,16.4,2025.0000,,2025-08-01,2025-09-19,,69
1EE6237E24,11,3,LODS,0,25111,2025,34,b,1,PVBLLO24-026,4,7,27.000,15.9,1674.0000,,2025-07-30,2025-09-18,,58
129DD2BF5C,12,3,LODS,0,25111,2025,35,b,1,PVBLLO24-040,4,6,29.000,15.2,1326.0000,,2025-08-01,2025-09-19,,51
1B8FCA193B,13,3,LODS,0,25111,2025,36,b,1,PVBLLO24-033,4,5,31.000,16.3,1531.0000,,2025-08-01,2025-09-14,,40
1CBBB240C3,6,3,LODS,0,25111,2025,37,n,1,PVNVLO24-039,4,4,27.000,16.3,1933.0000,,2025-08-05,2025-09-24,,33
1444A017CC,9,3,LODS,0,25111,2025,38,n,1,PVNVLO24-009,4,3,29.000,16.8,1162.0000,,2025-07-30,2025-09-22,,22
1B1EF5B952,14,3,LODS,0,25111,2025,39,b,1,PVBLLO24-001,4,2,29.000,13.3,1633.0000,,2025-07-30,2025-09-14,,15
165C37B88A,1,3,LODS,1,25111,2025,40,BC354,Phaseolus vulgaris,T9905,4,1,31.000,11.4,1379.0000,,2025-08-01,2025-09-22,,4
1ED6ADD089,10,3,LODS,0,25111,2025,41,b,1,PVBLLO24-028,5,1,29.000,15.3,2222.0000,,2025-08-01,2025-09-22,,5
16466288A4,2,3,LODS,2,25111,2025,42,,,PVBLPI19-1,5,2,29.000,14.1,2389.0000,,2025-07-31,2025-09-16,,14