Filler,ENTRY,REP,IBLOC,IBLK,BLOCK,Locn,Location,Plot,End Plot,Experiment Name,Field Plan,Identity1,Pedigree,Selection,Origin,Name,Fn,BN,Method,Cone,Harvester,Pass,Planter,Rng,Pas,AdjustedPass,MasonPlot#,ComboCode,Year,PLOTWT,fid,MasonPlotC,xcoord,ycoord,PLT,GroundTruth1,Groundtruth2,Total/m,TotalPlot
FALSE,9,1,,1,1,SVR,SVREC,1001,,2500,25 SVREC YT,,B17536/B18504,21-22H41,19B223-01-01-01,B22041,7,,SB,1,1,1,1,1,1,,101,25000101,2025,1510.49,1,101,282185.8058,4808411.808,76,8,11,9.5,52.1208
FALSE,16,1,,1,1,SVR,SVREC,1002,,2500,25 SVREC YT,BLACK PEARL,"B16506/B16507, BLACK PEARL",18-19T1121,17B247-01-04,B19344,6,,,1,2,2,48,1,2,,102,25000102,2025,1188.43,2,102,282185.9637,4808414.049,78,7,11,9,49.3776
FALSE,2,1,,2,1,SVR,SVREC,1003,,2500,25 SVREC YT,,N18122/N19253,21-22T340,20N114-04-03,N22610,6,,,1,188,1,2,2,1,,201,25000201,2025,1360.80,3,201,282178.5605,4808412.113,85,10,12,11,60.3504
FALSE,15,1,,2,1,SVR,SVREC,1004,,2500,25 SVREC YT,KONA,"B15430/B16504, KONA",19-20T626,18B217-10-02,B20536,6,,,1,187,2,47,2,2,,202,25000202,2025,1424.30,4,202,282178.5697,4808414.341,77,9,13,11,60.3504
FALSE,14,1,,3,1,SVR,SVREC,1005,,2500,25 SVREC YT,,B20617/B19344,22-23T1153,21B370-01-01,B23949,6,,SB,1,189,1,3,3,1,,301,25000301,2025,1233.79,5,301,282171.3732,4808412.328,81,12,11,11.5,63.0936
FALSE,6,1,,3,1,SVR,SVREC,1006,,2500,25 SVREC YT,,N19226/B19309,22-23T407,21N142-03-02,N23717,6,,SB,1,190,2,46,3,2,,302,25000302,2025,1426.40,6,302,282171.2789,4808414.588,84,12,12,12,65.8368
FALSE,3,1,,4,1,SVR,SVREC,1007,,2500,25 SVREC YT,,N19216/B18224,21-22T381,20N124-03-03,N22622,6,,,1,376,1,4,4,1,,401,25000401,2025,1369.87,7,401,282163.9187,4808412.562,88,12,10,11,60.3504
FALSE,10,1,,4,1,SVR,SVREC,1008,,2500,25 SVREC YT,,B17536/B18504,21-22H42,19B223-01-01-02,B22042,7,,SB,1,375,2,45,4,2,,402,25000402,2025,1220.18,8,402,282163.9128,4808414.776,78,13,15,14,76.8096
FALSE,1,1,,5,1,SVR,SVREC,1009,,2500,25 SVREC YT,,N19216/N17505,21-22T361,20N121-01-02,N22616,6,,,1,377,1,5,5,1,,501,25000501,2025,1714.61,9,501,282156.5682,4808412.794,72,13,14,13.5,74.0664
FALSE,7,1,,5,1,SVR,SVREC,1010,,2500,25 SVREC YT,AuSable,"N13120/PR00806-81, AuSable",17-18T440,16N103-06-03,N18103,6,,,1,378,2,44,5,2,,502,25000502,2025,1564.92,10,502,282156.6374,4808415.051,73,15,13,14,76.8096
FALSE,13,1,,6,1,SVR,SVREC,1011,,2500,25 SVREC YT,,B18201/B19345,22-23T1075,21B303-04-03,B23911,6,,SB,1,564,1,6,6,1,,601,25000601,2025,1424.30,11,601,282149.321,4808412.98,77,15,13,14,76.8096
FALSE,5,1,,6,1,SVR,SVREC,1012,,2500,25 SVREC YT,,N18128/N19253,22-23T379,21N116-02-01,N23706,6,,SB,1,563,2,43,6,2,,602,25000602,2025,1769.04,12,602,282149.2715,4808415.254,81,15,13,14,76.8096
FALSE,8,1,,7,1,SVR,SVREC,1013,,2500,25 SVREC YT,LIBERTY,LIBERTY,,Provita 15095,I22001,0,,,1,565,1,7,7,1,,701,25000701,2025,997.92,13,701,282142.0599,4808413.226,94,12,13,12.5,68.58
FALSE,11,1,,7,1,SVR,SVREC,1014,,2500,25 SVREC YT,,B18231/B18233,21-22H62,19B252-02-02-03,B22062,7,,SB,1,566,2,42,7,2,,702,25000702,2025,1261.01,14,702,282141.9958,4808415.515,78,13,12,12.5,68.58
FALSE,4,1,,8,1,SVR,SVREC,1015,,2500,25 SVREC YT,,N19241/N18103,21-22T387,20N129-06-02,N22623,6,,,1,752,1,8,8,1,,801,25000801,2025,1542.24,15,801,282134.6359,4808413.504,76,12,13,12.5,68.58
FALSE,12,1,,8,1,SVR,SVREC,1016,,2500,25 SVREC YT,,B19309/B18222,21-22T978,20B278-05-05,B22854,6,,SB,1,751,2,41,8,2,,802,25000802,2025,1701.00,16,802,282134.6448,4808415.717,73,14,13,13.5,74.0664
FALSE,7,2,,1,2,SVR,SVREC,2001,,2500,25 SVREC YT,AuSable,"N13120/PR00806-81, AuSable",17-18T440,16N103-06-03,N18103,6,,,1,753,1,9,9,1,,901,25000901,2025,1505.95,17,901,282127.3735,4808413.675,67,13,12,12.5,68.58
FALSE,16,2,,1,2,SVR,SVREC,2002,,2500,25 SVREC YT,BLACK PEARL,"B16506/B16507, BLACK PEARL",18-19T1121,17B247-01-04,B19344,6,,,1,754,2,40,9,2,,902,25000902,2025,1487.81,18,902,282127.3543,4808415.978,75,12,15,13.5,74.0664
FALSE,1,2,,2,2,SVR,SVREC,2003,,2500,25 SVREC YT,,N19216/N17505,21-22T361,20N121-01-02,N22616,6,,,1,940,1,10,10,1,,1001,25001001,2025,1378.94,19,1001,282119.9782,4808413.893,73,13,11,12,65.8368
FALSE,4,2,,2,2,SVR,SVREC,2004,,2500,25 SVREC YT,,N19241/N18103,21-22T387,20N129-06-02,N22623,6,,,1,939,2,39,10,2,,1002,25001002,2025,1034.21,20,1002,282120.0343,4808416.255,85,15,15,15,82.296
FALSE,9,2,,3,2,SVR,SVREC,2005,,2500,25 SVREC YT,,B17536/B18504,21-22H41,19B223-01-01-01,B22041,7,,SB,1,941,1,11,11,1,,1101,25001101,2025,1626.31,21,1101,282112.7035,4808414.213,91,13,14,13.5,74.0664
FALSE,2,2,,3,2,SVR,SVREC,2006,,2500,25 SVREC YT,,N18122/N19253,21-22T340,20N114-04-03,N22610,6,,,1,942,2,38,11,2,,1102,25001102,2025,1120.39,22,1102,282112.787,4808416.441,92,13,13,13,71.3232
FALSE,6,2,,4,2,SVR,SVREC,2007,,2500,25 SVREC YT,,N19226/B19309,22-23T407,21N142-03-02,N23717,6,,SB,1,1128,1,12,12,1,,1201,25001201,2025,1483.27,23,1201,282105.3966,4808414.385,83,13,11,12,65.8368
FALSE,3,2,,4,2,SVR,SVREC,2008,,2500,25 SVREC YT,,N19216/B18224,21-22T381,20N124-03-03,N22622,6,,,1,1127,2,37,12,2,,1202,25001202,2025,1138.54,24,1202,282105.4516,4808416.687,81,13,13,13,71.3232
FALSE,10,2,,5,2,SVR,SVREC,2009,,2500,25 SVREC YT,,B17536/B18504,21-22H42,19B223-01-01-02,B22042,7,,SB,1,1129,1,13,13,1,,1301,25001301,2025,1043.28,25,1301,282098.1513,4808414.69,78,13,15,14,76.8096
FALSE,13,2,,5,2,SVR,SVREC,2010,,2500,25 SVREC YT,,B18201/B19345,22-23T1075,21B303-04-03,B23911,6,,SB,1,1130,2,36,13,2,,1302,25001302,2025,1483.27,26,1302,282098.116,4808416.92,74,12,13,12.5,68.58
FALSE,11,2,,6,2,SVR,SVREC,2011,,2500,25 SVREC YT,,B18231/B18233,21-22H62,19B252-02-02-03,B22062,7,,SB,1,1316,1,14,14,1,,1401,25001401,2025,1274.62,27,1401,282090.7335,4808414.894,64,13,12,12.5,68.58
FALSE,12,2,,6,2,SVR,SVREC,2012,,2500,25 SVREC YT,,B19309/B18222,21-22T978,20B278-05-05,B22854,6,,SB,1,1315,2,35,14,2,,1402,25001402,2025,1837.08,28,1402,282090.7578,4808417.137,66,13,13,13,71.3232
FALSE,15,2,,7,2,SVR,SVREC,2013,,2500,25 SVREC YT,KONA,"B15430/B16504, KONA",19-20T626,18B217-10-02,B20536,6,,,1,1317,1,15,15,1,,1501,25001501,2025,1573.99,29,1501,282083.3981,4808415.141,70,13,11,12,65.8368
FALSE,5,2,,7,2,SVR,SVREC,2014,,2500,25 SVREC YT,,N18128/N19253,22-23T379,21N116-02-01,N23706,6,,SB,1,1318,2,34,15,2,,1502,25001502,2025,1161.22,30,1502,282083.4524,4808417.398,85,11,11,11,60.3504
FALSE,8,2,,8,2,SVR,SVREC,2015,,2500,25 SVREC YT,LIBERTY,LIBERTY,,Provita 15095,I22001,0,,,1,1504,1,16,16,1,,1601,25001601,2025,1165.75,31,1601,282076.0776,4808415.388,77,12,13,12.5,68.58
FALSE,14,2,,8,2,SVR,SVREC,2016,,2500,25 SVREC YT,,B20617/B19344,22-23T1153,21B370-01-01,B23949,6,,SB,1,1503,2,33,16,2,,1602,25001602,2025,1401.62,32,1602,282076.1019,4808417.631,70,13,12,12.5,68.58
FALSE,6,3,,1,3,SVR,SVREC,3001,,2500,25 SVREC YT,,N19226/B19309,22-23T407,21N142-03-02,N23717,6,,SB,1,1505,1,17,17,1,,1701,25001701,2025,1242.86,33,1701,282068.7719,4808415.634,67,13,13,13,71.3232
FALSE,9,3,,1,3,SVR,SVREC,3002,,2500,25 SVREC YT,,B17536/B18504,21-22H41,19B223-01-01-01,B22041,7,,SB,1,1506,2,32,17,2,,1702,25001702,2025,1701.00,34,1702,282068.766,4808417.848,58,13,11,12,65.8368
FALSE,15,3,,2,3,SVR,SVREC,3003,,2500,25 SVREC YT,KONA,"B15430/B16504, KONA",19-20T626,18B217-10-02,B20536,6,,,1,1692,1,18,18,1,,1801,25001801,2025,1796.26,35,1801,282061.4798,4808415.806,60,11,11,11,60.3504
FALSE,8,3,,2,3,SVR,SVREC,3004,,2500,25 SVREC YT,LIBERTY,LIBERTY,,Provita 15095,I22001,0,,,1,1691,2,31,18,2,,1802,25001802,2025,1088.64,36,1802,282061.4898,4808418.079,81,12,13,12.5,68.58
FALSE,13,3,,3,3,SVR,SVREC,3005,,2500,25 SVREC YT,,B18201/B19345,22-23T1075,21B303-04-03,B23911,6,,SB,1,1693,1,19,19,1,,1901,25001901,2025,1215.65,37,1901,282054.1601,4808416.097,70,13,14,13.5,74.0664
FALSE,12,3,,3,3,SVR,SVREC,3006,,2500,25 SVREC YT,,B19309/B18222,21-22T978,20B278-05-05,B22854,6,,SB,1,1694,2,30,19,2,,1902,25001902,2025,1735.48,38,1902,282054.1844,4808418.34,73,13,14,13.5,74.0664
FALSE,1,3,,4,3,SVR,SVREC,3007,,2500,25 SVREC YT,,N19216/N17505,21-22T361,20N121-01-02,N22616,6,,,1,1880,1,20,20,1,,2001,25002001,2025,1578.53,39,2001,282046.8099,4808416.344,62,14,13,13.5,74.0664
FALSE,3,3,,4,3,SVR,SVREC,3008,,2500,25 SVREC YT,,N19216/B18224,21-22T381,20N124-03-03,N22622,6,,,1,1879,2,29,20,2,,2002,25002002,2025,1161.22,40,2002,282046.8634,4808418.557,76,11,11,11,60.3504
FALSE,4,3,,5,3,SVR,SVREC,3009,,2500,25 SVREC YT,,N19241/N18103,21-22T387,20N129-06-02,N22623,6,,,1,1881,1,21,21,1,,2101,25002101,2025,1183.90,41,2101,282039.4366,4808416.547,64,13,13,13,71.3232
FALSE,5,3,,5,3,SVR,SVREC,3010,,2500,25 SVREC YT,,N18128/N19253,22-23T379,21N116-02-01,N23706,6,,SB,1,1882,2,28,21,2,,2102,25002102,2025,1220.18,42,2102,282039.551,4808418.848,86,13,14,13.5,74.0664
FALSE,11,3,,6,3,SVR,SVREC,3011,,2500,25 SVREC YT,,B18231/B18233,21-22H62,19B252-02-02-03,B22062,7,,SB,1,2068,1,22,22,1,,2201,25002201,2025,1505.95,43,2201,282032.1903,4808416.792,58,13,12,12.5,68.58
FALSE,2,3,,6,3,SVR,SVREC,3012,,2500,25 SVREC YT,,N18122/N19253,21-22T340,20N114-04-03,N22610,6,,,1,2067,2,27,22,2,,2202,25002202,2025,1524.10,44,2202,282032.2297,4808419.05,87,13,12,12.5,68.58
FALSE,7,3,,7,3,SVR,SVREC,3013,,2500,25 SVREC YT,AuSable,"N13120/PR00806-81, AuSable",17-18T440,16N103-06-03,N18103,6,,,1,2069,1,23,23,1,,2301,25002301,2025,1536.37,45,2301,282024.9136,4808416.994,73,12,12,12,65.8368
FALSE,10,3,,7,3,SVR,SVREC,3014,,2500,25 SVREC YT,,B17536/B18504,21-22H42,19B223-01-01-02,B22042,7,,SB,1,2070,2,26,23,2,,2302,25002302,2025,979.78,46,2302,282024.8931,4808419.223,78,13,14,13.5,74.0664
FALSE,14,3,,8,3,SVR,SVREC,3015,,2500,25 SVREC YT,,B20617/B19344,22-23T1153,21B370-01-01,B23949,6,,SB,1,2256,1,24,24,1,,2401,25002401,2025,1787.18,47,2401,282017.5636,4808417.256,82,13,15,14,76.8096
FALSE,16,3,,8,3,SVR,SVREC,3016,,2500,25 SVREC YT,BLACK PEARL,"B16506/B16507, BLACK PEARL",18-19T1121,17B247-01-04,B19344,6,,,1,2255,2,25,24,2,,2402,25002402,2025,1363.62,48,2402,282017.6015,4808419.424,71,13,14,13.5,74.0664
