Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Mason Plot #,Identity1,Description1,Name1 (Row Spacing),Name2 (Planting Density),Name3 (variety),Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Common Bacterial Blight,Lodging,Height,Desirability score,White Mold,anthracnose,Flowering Date,Maturity Date,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,17A4AB3390,1,,LODS,1,1001,,,"30""",100000,Nautica,1,1,39,19.8,1772,2280,,,,,,,2024-07-24,2024-09-01,,0,1,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17DD20C9A0,1,,LODS,2,2001,,,"30""",100000,CLERK,2,1,67,23.8,635,776,,,,,,,2024-07-23,2024-09-01,,0,2,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1143BB41EA,1,,LODS,3,3001,,,"30""",100000,Windbreaker,3,1,42,21.2,1586,2005,,,,,,,2024-07-21,2024-08-23,,0,3,,,,,,,,,,,,,,,,,,,,,,,
24101-n,197BBB7845,1,,LODS,4,4001,,,"30""",100000,Zorro,4,1,27,21.5,1519,1913,,,,,,,2024-07-21,2024-08-24,,0,4,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A09581714,1,,LODS,5,5001,,,"30""",100000,Eclipse,5,1,26,19.4,1534,1984,,,,,,,2024-07-23,2024-08-26,,0,5,,,,,,,,,,,,,,,,,,,,,,,
24101-n,178E433348,1,,LODS,6,6001,,,"30""",100000,Apex,6,1,52,25.6,1417,1692,,,,,,,2024-07-20,2024-09-01,,0,6,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1647132305,1,,LODS,7,7001,,,"30""",100000,Redhawk,7,1,,,,,,,,,,,2024-07-17,2024-08-21,,0,7,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A2F8E059F,1,,LODS,8,8001,,,"30""",100000,ETNA,8,1,41,18.2,851,1117,,,,,,,2024-07-16,2024-08-19,,0,8,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1047A4D661,1,,LODS,9,9001,,,"30""",100000,black bear,9,1,25,19.6,1633,2107,,,,,,,2024-07-26,2024-08-30,,0,9,,,,,,,,,,,,,,,,,,,,,,,
24101-n,161743762B,1,,LODS,10,10001,,,"30""",100000,Ronnies red,10,1,72,23,590,729,,,,,,,2024-07-24,2024-09-02,,0,10,,,,,,,,,,,,,,,,,,,,,,,
24101-n,11FBF792FB,1,,LODS,11,11001,,,"30""",100000,T9905,11,1,26,21.3,1675,2115,,,,,,,2024-07-26,2024-08-30,,0,11,,,,,,,,,,,,,,,,,,,,,,,
24101-n,14D1D74C4F,1,,LODS,12,12001,,,"30""",100000,Red Rover,12,1,60,20.7,642,817,,,,,,,2024-07-18,2024-08-20,,0,12,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1913C5BCE2,1,,LODS,13,13001,,,"30""",100000,Merlot,13,1,40,19.5,1360,1757,,,,,,,2024-07-25,2024-09-01,,0,13,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F3E3C7202,1,,LODS,14,14001,,,"30""",100000,Red Dawn,14,1,61,20.1,427,547,,,,,,,2024-07-18,2024-08-21,,0,14,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1ECBE9100C,1,,LODS,15,15001,,,"30""",100000,Cayenne,15,1,40,20.6,1809,2305,,,,,,,2024-07-22,2024-08-29,,0,15,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13C7E686AA,1,,LODS,16,15002,,,"30""",150000,Ronnies red,15,2,82,22,664,831,,,,,,,2024-07-21,,,0,16,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EE98D13AE,1,,LODS,17,14002,,,"30""",150000,Red Dawn,14,2,65,20.5,595,759,,,,,,,2024-07-19,2024-08-21,,0,17,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17B74EF533,1,,LODS,18,13002,,,"30""",150000,Redhawk,13,2,61,21.2,763,965,,,,,,,2024-07-20,2024-08-26,,0,18,,,,,,,,,,,,,,,,,,,,,,,
24101-n,11EC8AEE89,1,,LODS,19,12002,,,"30""",150000,Red Rover,12,2,57,21.2,1338,1692,,,,,,,2024-07-19,2024-08-22,,0,19,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B9839AAA6,1,,LODS,20,11002,,,"30""",150000,CLERK,11,2,70,23,963,1190,,,,,,,2024-07-25,2024-09-03,,0,20,,,,,,,,,,,,,,,,,,,,,,,
24101-n,128FFC5EE2,1,,LODS,21,10002,,,"30""",150000,Windbreaker,10,2,45,20.2,1444,1849,,,,,,,2024-07-20,2024-08-24,,0,21,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17D142D80C,1,,LODS,22,9002,,,"30""",150000,Apex,9,2,28,20.3,2220,2839,,,,,,,2024-07-24,2024-08-31,,0,22,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13D7345BF6,1,,LODS,23,8002,,,"30""",150000,black bear,8,2,60,19,1885,2450,,,,,,,2024-07-23,2024-08-29,,0,23,,,,,,,,,,,,,,,,,,,,,,,
24101-n,135525D516,1,,LODS,24,7002,,,"30""",150000,T9905,7,2,27,20,2001,2569,,,,,,,2024-07-24,2024-08-30,,0,24,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1ED16701A9,1,,LODS,25,6002,,,"30""",150000,Eclipse,6,2,27,19.4,2351,3041,,,,,,,2024-07-20,2024-08-27,,0,25,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BF894EAAD,1,,LODS,26,5002,,,"30""",150000,Nautica,5,2,48,18.9,1705,2219,,,,,,,2024-07-22,2024-08-28,,0,26,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CFB818B13,1,,LODS,27,4002,,,"30""",150000,Merlot,4,2,38,19.7,1394,1796,,,,,,,2024-07-20,2024-08-26,,0,27,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1FA7816CE1,1,,LODS,28,3002,,,"30""",150000,Zorro,3,2,25,19.4,2071,2678,,,,,,,2024-07-22,2024-08-26,,0,28,,,,,,,,,,,,,,,,,,,,,,,
24101-n,167E0CFA3F,1,,LODS,29,2002,,,"30""",150000,Cayenne,2,2,,,,,,,,,,,2024-07-20,2024-08-30,,0,29,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EB5B01FFF,1,,LODS,30,1002,,,"30""",150000,ETNA,1,2,47,19.2,1967,2550,,,,,,,2024-07-17,2024-08-20,,0,30,,,,,,,,,,,,,,,,,,,,,,,
24101-n,114965A262,1,,LODS,31,1003,,,"30""",75000,Red Rover,1,3,,,,,,,,,,,2024-07-16,2024-08-21,,0,31,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13EFA08461,1,,LODS,32,2003,,,"30""",75000,T9905,2,3,38,21,1637,2075,,,,,,,2024-07-24,2024-08-30,,0,32,,,,,,,,,,,,,,,,,,,,,,,
24101-n,15158A5F69,1,,LODS,33,3003,,,"30""",75000,black bear,3,3,26,21.7,1836,2307,,,,,,,2024-07-23,2024-08-31,,0,33,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1D59F1C964,1,,LODS,34,4003,,,"30""",75000,Zorro,4,3,28,19.6,1320,1703,,,,,,,2024-07-23,2024-08-26,,0,34,,,,,,,,,,,,,,,,,,,,,,,
24101-n,142BD536E6,1,,LODS,35,5003,,,"30""",75000,Ronnies red,5,3,70,22,693,867,,,,,,,2024-07-22,,,0,35,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1DBB1A7FEC,1,,LODS,36,6003,,,"30""",75000,ETNA,6,3,58,23,828,1023,,,,,,,2024-07-19,2024-08-21,,0,36,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CB9084CD5,1,,LODS,37,7003,,,"30""",75000,Red Dawn,7,3,65,20.6,553,705,,,,,,,2024-07-16,2024-08-20,,0,37,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13519E0F5D,1,,LODS,38,8003,,,"30""",75000,CLERK,8,3,67,23,722,892,,,,,,,2024-07-23,,,0,38,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BAF74E1C8,1,,LODS,39,9003,,,"30""",75000,Windbreaker,9,3,46,19.6,1482,1912,,,,,,,2024-07-21,2024-08-26,,0,39,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1346BCE35D,1,,LODS,40,10003,,,"30""",75000,Redhawk,10,3,52,20.4,358,457,,,,,,,2024-07-17,2024-08-21,,0,40,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CDB6474C6,1,,LODS,41,11003,,,"30""",75000,Eclipse,11,3,25,20.3,1476,1888,,,,,,,2024-07-22,2024-08-28,,0,41,,,,,,,,,,,,,,,,,,,,,,,
24101-n,176658E42D,1,,LODS,42,12003,,,"30""",75000,Apex,12,3,51,19.5,1576,2036,,,,,,,2024-07-20,2024-09-02,,0,42,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17ADAD86EC,1,,LODS,43,13003,,,"30""",75000,Cayenne,13,3,39,20.5,2047,2611,,,,,,,2024-07-25,2024-08-30,,0,43,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10C128A4AC,1,,LODS,44,14003,,,"30""",75000,Merlot,14,3,42,18.6,918,1199,,,,,,,2024-07-24,2024-09-02,,0,44,,,,,,,,,,,,,,,,,,,,,,,
24101-n,16614BF8FB,1,,LODS,45,15003,,,"30""",75000,Nautica,15,3,24,21.2,1489,1883,,,,,,,2024-07-24,2024-08-30,,0,45,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1601855702,1,,LODS,46,15004,,,"22""",150000,Nautica,15,4,,,,,,,,,,,2024-07-23,2024-08-28,,0,46,,,,,,,,,,,,,,,,,,,,,,,
24101-n,162DD8AFEB,1,,LODS,47,14004,,,"22""",150000,Zorro,14,4,28,21.2,1570,1985,,,,,,,2024-07-24,2024-08-28,,0,47,,,,,,,,,,,,,,,,,,,,,,,
24101-n,196870E465,1,,LODS,48,13004,,,"22""",150000,Redhawk,13,4,54,20.7,645,821,,,,,,,2024-07-19,2024-08-26,,0,48,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B20C85804,1,,LODS,49,12004,,,"22""",150000,Cayenne,12,4,39,19.9,1476,1897,,,,,,,2024-07-24,2024-08-30,,0,49,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1D1519F912,1,,LODS,50,11004,,,"22""",150000,Windbreaker,11,4,42,20.1,1532,1964,,,,,,,2024-07-20,2024-08-24,,0,50,,,,,,,,,,,,,,,,,,,,,,,
24101-n,11AC5EA708,1,,LODS,51,10004,,,"22""",150000,Eclipse,10,4,45,20,1319,1693,,,,,,,2024-07-23,2024-08-28,,0,51,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17C35F9EF6,1,,LODS,52,9004,,,"22""",150000,CLERK,9,4,61,20.4,657,839,,,,,,,2024-07-23,,,0,52,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B93418F81,1,,LODS,53,8004,,,"22""",150000,Red Rover,8,4,57,18.9,764,994,,,,,,,2024-07-17,2024-08-22,,0,53,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1617DE1AAA,1,,LODS,54,7004,,,"22""",150000,Red Dawn,7,4,64,20.7,550,700,,,,,,,2024-07-18,2024-08-20,,0,54,,,,,,,,,,,,,,,,,,,,,,,
24101-n,137A27CF22,1,,LODS,55,6004,,,"22""",150000,T9905,6,4,25,18.3,1828,2396,,,,,,,2024-07-22,2024-08-30,,0,55,,,,,,,,,,,,,,,,,,,,,,,
24101-n,178A7FCC1B,1,,LODS,56,5004,,,"22""",150000,Ronnies red,5,4,70,19.6,766,988,,,,,,,2024-07-21,2024-09-02,,0,56,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10DF836229,1,,LODS,57,4004,,,"22""",150000,Merlot,4,4,40,19.9,1582,2033,,,,,,,2024-07-22,2024-08-30,,0,57,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BEEB999A1,1,,LODS,58,3004,,,"22""",150000,Apex,3,4,28,20.5,1623,2070,,,,,,,2024-07-22,2024-09-01,,0,58,,,,,,,,,,,,,,,,,,,,,,,
24101-n,184AA18C55,1,,LODS,59,2004,,,"22""",150000,ETNA,2,4,47,19.3,190,246,,,,,,,2024-07-17,2024-08-22,,0,59,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F294A5502,1,,LODS,60,1004,,,"22""",150000,black bear,1,4,,,,,,,,,,,2024-07-21,,,0,60,,,,,,,,,,,,,,,,,,,,,,,
24101-n,128FCE3EF1,1,,LODS,61,1005,,,"22""",75000,Nautica,1,5,29,17.2,482,640,,,,,,,2024-07-22,2024-09-01,,0,61,,,,,,,,,,,,,,,,,,,,,,,
24101-n,108817FC5A,1,,LODS,62,2005,,,"22""",75000,Merlot,2,5,40,20.6,929,1184,,,,,,,2024-07-23,2024-09-01,,0,62,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C2A16BA08,1,,LODS,63,3005,,,"22""",75000,Apex,3,5,28,22.8,1518,1880,,,,,,,2024-07-24,,,0,63,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B00FCE504,1,,LODS,64,4005,,,"22""",75000,black bear,4,5,28,23.3,1636,2013,,,,,,,2024-07-24,2024-09-01,,0,64,,,,,,,,,,,,,,,,,,,,,,,
24101-n,12BC26828A,1,,LODS,65,5005,,,"22""",75000,ETNA,5,5,72,18.9,740,963,,,,,,,2024-07-17,2024-08-20,,0,65,,,,,,,,,,,,,,,,,,,,,,,
24101-n,14A4CA0F78,1,,LODS,66,6005,,,"22""",75000,Zorro,6,5,28,21.2,1688,2134,,,,,,,2024-07-21,2024-08-30,,0,66,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1ABB092894,1,,LODS,67,7005,,,"22""",75000,T9905,7,5,27,21.3,1322,1669,,,,,,,2024-07-25,2024-08-31,,0,67,,,,,,,,,,,,,,,,,,,,,,,
24101-n,18699C80DE,1,,LODS,68,8005,,,"22""",75000,Cayenne,8,5,41,19.7,1511,1947,,,,,,,2024-07-23,2024-08-30,,0,68,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CD6C3DBF6,1,,LODS,69,9005,,,"22""",75000,Red Dawn,9,5,59,19,513,667,,,,,,,2024-07-16,2024-08-21,,0,69,,,,,,,,,,,,,,,,,,,,,,,
24101-n,11A3DEAF70,1,,LODS,70,10005,,,"22""",75000,Redhawk,10,5,56,19.2,507,657,,,,,,,2024-07-17,2024-08-21,,0,70,,,,,,,,,,,,,,,,,,,,,,,
24101-n,15BD90DF5B,1,,LODS,71,11005,,,"22""",75000,Ronnies red,11,5,73,21,768,974,,,,,,,2024-07-21,2024-09-01,,0,71,,,,,,,,,,,,,,,,,,,,,,,
24101-n,196A2A2CFF,1,,LODS,72,12005,,,"22""",75000,Eclipse,12,5,48,17.7,1216,1606,,,,,,,2024-07-24,2024-08-26,,0,72,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B00F5B1B3,1,,LODS,73,13005,,,"22""",75000,CLERK,13,5,64,21.6,666,838,,,,,,,2024-07-25,,,0,73,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10F8436E71,1,,LODS,74,14005,,,"22""",75000,Windbreaker,14,5,50,19.9,1223,1572,,,,,,,2024-07-21,2024-08-26,,0,74,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1FE3C8DD87,1,,LODS,75,15005,,,"22""",75000,Red Rover,15,5,60,20.5,744,949,,,,,,,2024-07-19,2024-08-24,,0,75,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F69EB8F23,1,,LODS,76,15006,,,"22""",100000,Nautica,15,6,54,20.7,1063,1353,,,,,,,2024-07-25,2024-08-30,,0,76,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1E5BC0F5A0,1,,LODS,77,14006,,,"22""",100000,Red Dawn,14,6,56,18.5,539,705,,,,,,,2024-07-20,2024-08-19,,0,77,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10EDA2B6DF,1,,LODS,78,13006,,,"22""",100000,T9905,13,6,54,23.2,1886,2324,,,,,,,2024-07-26,2024-08-31,,0,78,,,,,,,,,,,,,,,,,,,,,,,
24101-n,103B4585F5,1,,LODS,79,12006,,,"22""",100000,Ronnies red,12,6,66,19.6,642,828,,,,,,,2024-07-22,2024-09-01,,0,79,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1D32470AF7,1,,LODS,80,11006,,,"22""",100000,Redhawk,11,6,51,19.2,832,1079,,,,,,,2024-07-21,2024-08-22,,0,80,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C8627CFE0,1,,LODS,81,10006,,,"22""",100000,ETNA,10,6,56,20.5,823,1050,,,,,,,2024-07-18,2024-08-22,,0,81,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C3156684C,1,,LODS,82,9006,,,"22""",100000,CLERK,9,6,72,24,432,527,,,,,,,2024-07-25,,,0,82,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1AFB396F00,1,,LODS,83,8006,,,"22""",100000,Apex,8,6,28,22.7,1549,1921,,,,,,,2024-07-24,2024-08-31,,0,83,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13F7E6DCBF,1,,LODS,84,7006,,,"22""",100000,black bear,7,6,29,20.3,1943,2485,,,,,,,2024-07-25,2024-09-01,,0,84,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F28AAC832,1,,LODS,85,6006,,,"22""",100000,Red Rover,6,6,61,18.6,827,1080,,,,,,,2024-07-18,2024-08-21,,0,85,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C4B0E1D45,1,,LODS,86,5006,,,"22""",100000,Merlot,5,6,47,20.5,955,1218,,,,,,,2024-07-24,,,0,86,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1080B6E78B,1,,LODS,87,4006,,,"22""",100000,Eclipse,4,6,25,19.1,1911,2481,,,,,,,2024-07-24,2024-08-28,,0,87,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F019EB283,1,,LODS,88,3006,,,"22""",100000,Zorro,3,6,25,20.8,1322,1680,,,,,,,2024-07-22,2024-08-26,,0,88,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17F17445E8,1,,LODS,89,2006,,,"22""",100000,Windbreaker,2,6,47,21,1359,1723,,,,,,,2024-07-21,2024-08-24,,0,89,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BBE7A47FB,1,,LODS,90,1006,,,"22""",100000,Cayenne,1,6,45,20.3,2006,2565,,,,,,,2024-07-22,,,0,90,,,,,,,,,,,,,,,,,,,,,,,
24101-n,151746B5A8,2,,LODS,91,1007,,,"22""",75000,Red Rover,1,7,62,20,659,846,,,,,,,2024-07-17,2024-08-22,,0,91,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1584ADAD28,2,,LODS,92,2007,,,"22""",75000,Zorro,2,7,26,20.5,1573,2007,,,,,,,2024-07-25,2024-08-31,,0,92,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1275B49A02,2,,LODS,93,3007,,,"22""",75000,ETNA,3,7,59,18.9,678,882,,,,,,,2024-07-19,2024-08-23,,0,93,,,,,,,,,,,,,,,,,,,,,,,
24101-n,176A73EB1D,2,,LODS,94,4007,,,"22""",75000,Apex,4,7,28,20.3,1673,2140,,,,,,,2024-07-24,2024-09-02,,0,94,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F0AE1958B,2,,LODS,95,5007,,,"22""",75000,Red Dawn,5,7,65,19.9,378,486,,,,,,,2024-07-15,2024-08-18,,0,95,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A8E6CC8D8,2,,LODS,96,6007,,,"22""",75000,T9905,6,7,27,18.1,1526,2005,,,,,,,2024-07-24,2024-08-31,,0,96,,,,,,,,,,,,,,,,,,,,,,,
24101-n,179874C9E2,2,,LODS,97,7007,,,"22""",75000,Windbreaker,7,7,53,19.4,1575,2037,,,,,,,2024-07-21,2024-08-28,,0,97,,,,,,,,,,,,,,,,,,,,,,,
24101-n,198A5A08B5,2,,LODS,98,8007,,,"22""",75000,Nautica,8,7,28,20,1804,2316,,,,,,,2024-07-25,2024-08-29,,0,98,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C1CB6CE61,2,,LODS,99,9007,,,"22""",75000,Merlot,9,7,50,18.9,1139,1482,,,,,,,2024-07-23,,,0,99,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1E7680FFC6,2,,LODS,100,10007,,,"22""",75000,black bear,10,7,25,19.7,1479,1906,,,,,,,2024-07-25,2024-09-01,,0,100,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1485745121,2,,LODS,101,11007,,,"22""",75000,Eclipse,11,7,,,,,,,,,,,2024-07-23,2024-08-28,,0,101,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1183CAA820,2,,LODS,102,12007,,,"22""",75000,CLERK,12,7,66,22.9,588,727,,,,,,,2024-07-21,2024-09-02,,0,102,,,,,,,,,,,,,,,,,,,,,,,
24101-n,151856F93E,2,,LODS,103,13007,,,"22""",75000,Ronnies red,13,7,76,22,745,932,,,,,,,2024-07-22,,,0,103,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1AA5643697,2,,LODS,104,14007,,,"22""",75000,Redhawk,14,7,57,20.6,253,322,,,,,,,2024-07-17,2024-08-21,,0,104,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13438C38B0,2,,LODS,105,15007,,,"22""",75000,Cayenne,15,7,34,17.6,1537,2032,,,,,,,2024-07-21,2024-09-01,,0,105,,,,,,,,,,,,,,,,,,,,,,,
24101-n,143B059D49,2,,LODS,106,15008,,,"22""",150000,Windbreaker,15,8,45,17.9,1140,1502,,,,,,,2024-07-20,2024-08-22,,0,106,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1157728786,2,,LODS,107,14008,,,"22""",150000,Redhawk,14,8,,,,,,,,,,,2024-07-18,2024-08-24,,0,107,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EBDA28DB6,2,,LODS,108,13008,,,"22""",150000,Cayenne,13,8,40,18.9,1559,2029,,,,,,,2024-07-24,2024-08-30,,0,108,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1AA89F614D,2,,LODS,109,12008,,,"22""",150000,ETNA,12,8,52,20,170,218,,,,,,,2024-07-18,2024-08-20,,0,109,,,,,,,,,,,,,,,,,,,,,,,
24101-n,189A641B49,2,,LODS,110,11008,,,"22""",150000,Apex,11,8,29,22,1489,1864,,,,,,,2024-07-19,2024-08-30,,0,110,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1147AC00EA,2,,LODS,111,10008,,,"22""",150000,Red Rover,10,8,63,21.5,830,1045,,,,,,,2024-07-19,2024-08-24,,0,111,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10EDEF24ED,2,,LODS,112,9008,,,"22""",150000,Zorro,9,8,26,20.9,1506,1911,,,,,,,2024-07-24,2024-08-28,,0,112,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1FCB05C378,2,,LODS,113,8008,,,"22""",150000,black bear,8,8,36,19.2,1748,2266,,,,,,,2024-07-22,2024-08-28,,0,113,,,,,,,,,,,,,,,,,,,,,,,
24101-n,131622A06A,2,,LODS,114,7008,,,"22""",150000,Eclipse,7,8,61,17.4,1594,2113,,,,,,,2024-07-21,2024-08-26,,0,114,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1E8608BDB2,2,,LODS,115,6008,,,"22""",150000,T9905,6,8,25,19.7,2088,2690,,,,,,,2024-07-24,2024-08-30,,0,115,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B69F7C04C,2,,LODS,116,5008,,,"22""",150000,CLERK,5,8,70,22.8,873,1081,,,,,,,2024-07-25,,,0,116,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BD33F1538,2,,LODS,117,4008,,,"22""",150000,Red Dawn,4,8,62,21.3,587,741,,,,,,,2024-07-17,2024-08-20,,0,117,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1575F9896E,2,,LODS,118,3008,,,"22""",150000,Ronnies red,3,8,76,21.8,790,991,,,,,,,2024-07-23,2024-09-02,,0,118,,,,,,,,,,,,,,,,,,,,,,,
