fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,_2rowmean
1518,2024-06-04,02:15:30pm,4.71,905,U-1,45.43294968,-73.93921071,39.021,0,0,,1,500937d21efac5d7,0,0,101,101,0.927355263
1519,2024-06-04,02:15:42pm,4.71,905,U1,45.43297649,-73.93912978,39.021,0,0,,1,500937de01a1bd1f,0,1,108,108,0.977855263
1520,2024-06-04,02:15:55pm,4.71,905,U3,45.43300365,-73.93904906,39.021,0,0,,1,500937eb32eb8e40,0,2,201,201,0.988000316
1521,2024-06-04,02:16:07pm,4.71,905,U5,45.43303015,-73.93896796,39.021,0,0,,1,500937f72fc8d1c6,0,3,208,208,0.978092105
1522,2024-06-04,02:16:20pm,4.71,905,U7,45.43305724,-73.93888717,39.021,0,0,,1,5009380464b28f42,0,4,301,301,0.756526316
1523,2024-06-04,02:16:32pm,4.71,905,U9,45.43308434,-73.93880641,39.021,0,0,,1,5.00938E+15,0,5,308,308,0.730385127
1524,2024-06-04,02:17:01pm,4.71,905,U11,45.43311097,-73.93872532,39.021,0,0,,1,5009382d1f03b98f,0,6,401,401,0.870317496
1525,2024-06-04,02:17:13pm,4.71,905,U13,45.43313791,-73.93864447,39.021,0,0,,1,500938393916ae56,0,6,408,408,0.954183608
1526,2024-06-04,02:18:31pm,4.71,905,D13,45.4331127,-73.93862763,39.02,0,0,,1,500938877536384a,1,7,409,409,0.608055475
1527,2024-06-04,02:18:44pm,4.71,905,D11,45.43308611,-73.93870872,39.02,0,0,,1,50093894752ce1b7,1,6,402,402,0.981473928
1528,2024-06-04,02:18:57pm,4.71,905,D9,45.43305949,-73.93878983,39.021,0,0,,1,500938a125f6843f,1,5,309,309,0.98394758
1529,2024-06-04,02:19:09pm,4.71,905,D7,45.43303241,-73.93887061,39.021,0,0,,1,500938ad2f841179,1,4,302,302,0.978618421
1530,2024-06-04,02:19:22pm,4.71,905,D5,45.43300564,-73.9389516,39.021,0,0,,1,500938ba669012e1,1,3,209,209,0.952210526
1531,2024-06-04,02:19:34pm,4.71,905,D3,45.43297856,-73.9390323,39.021,0,0,,1,500938c669fc4194,1,2,202,202,0.981078947
1532,2024-06-04,02:19:47pm,4.71,905,D1,45.4329516,-73.93911321,39.021,0,0,,1,500938d31d4cc688,1,1,109,109,0.921684211
1533,2024-06-04,02:20:00pm,4.71,905,D-1,45.4329247,-73.93919406,39.021,0,0,,1,500938e02a9ec38d,1,0,102,102,0.980381579
1534,2024-06-04,02:20:58pm,4.71,905,U-1,45.43290041,-73.93917769,39.021,0,0,,1,5009391a2cd19750,2,0,103,103,0.974407558
1535,2024-06-04,02:21:11pm,4.71,905,U1,45.43292639,-73.93909621,39.021,0,0,,1,500939272161cf8e,2,1,110,110,0.964921053
1536,2024-06-04,02:21:23pm,4.71,905,U3,45.43295377,-73.93901557,39.021,0,0,,1,500939332035b4b3,2,2,203,203,0.981947368
1537,2024-06-04,02:21:51pm,4.71,905,U5,45.43298071,-73.93893478,39.02,0,0,,1,5009394f377e7978,2,3,210,210,0.967657469
1538,2024-06-04,02:22:04pm,4.71,905,U7,45.43300744,-73.93885375,39.02,0,0,,1,5009395c17548ec5,2,4,303,303,0.98175
1539,2024-06-04,02:22:17pm,4.71,905,U9,45.43303463,-73.93877308,39.02,0,0,,1,500939696854b105,2,5,310,310,0.933078947
1540,2024-06-04,02:22:29pm,4.71,905,U11,45.43306147,-73.93869215,39.02,0,0,,1,5009397538f822dd,2,6,403,403,0.986486842
1541,2024-06-04,02:22:42pm,4.71,905,U13,45.43308844,-73.9386113,39.02,0,0,,1,50093982458e6078,2,7,410,410,0.982237076
1542,2024-06-04,02:27:37pm,4.71,905,D13,45.43306279,-73.93859418,39.02,0,0,,1,50093aa91c5e3ec4,3,7,411,411,0.990855143
1543,2024-06-04,02:27:50pm,4.71,905,D11,45.43303634,-73.93867533,39.02,0,0,,1,50093ab67d023af4,3,6,404,404,0.627302632
1544,2024-06-04,02:28:09pm,4.71,905,D9,45.43301019,-73.93875676,39.02,0,0,,1,50093ac93b20d3c3,3,5,311,311,0.870539474
1545,2024-06-04,02:28:21pm,4.71,905,D7,45.43298281,-73.93883734,39.02,0,0,,1,50093ad5406f8ce0,3,4,304,304,0.788710526
1546,2024-06-04,02:28:34pm,4.71,905,D5,45.43295598,-73.93891824,39.02,0,0,,1,50093ae27784cc33,3,3,211,211,0.971433459
1547,2024-06-04,02:28:47pm,4.71,905,D3,45.43292895,-73.93899903,39.02,0,0,,1,50093aef17380c91,3,2,204,204,0.950724333
1548,2024-06-04,02:28:59pm,4.71,905,D1,45.43290187,-73.9390798,39.02,0,0,,1,50093afb12549ffc,3,1,111,111,0.982802858
1549,2024-06-04,02:29:12pm,4.71,905,D-1,45.4328751,-73.93916081,39.021,0,0,,1,50093b08785a7bd0,3,0,104,104,0.986724034
1550,2024-06-04,02:30:00pm,4.71,905,U-1,45.43285046,-73.93914412,39.02,0,0,,1,50093b3805b857f6,4,0,105,105,0.946184919
1551,2024-06-04,02:30:13pm,4.71,905,U1,45.43287695,-73.93906298,39.02,0,0,,1,50093b45131a1f8a,4,1,112,112,0.948960526
1552,2024-06-04,02:30:25pm,4.71,905,U3,45.43290416,-73.93898236,39.02,0,0,,1,50093b5177614e40,4,2,205,205,0.967671053
1553,2024-06-04,02:30:38pm,4.71,905,U5,45.43293104,-73.93890134,39.02,0,0,,1,50093b5e4c336168,4,3,212,212,0.909893551
1554,2024-06-04,02:30:51pm,4.71,905,U7,45.43295813,-73.93882066,39.02,0,0,,1,50093b6b45d1b542,4,4,305,305,0.971275938
1555,2024-06-04,02:31:03pm,4.71,905,U9,45.43298503,-73.93873976,39.02,0,0,,1,50093b771410315b,4,5,312,312,0.9775
1556,2024-06-04,02:31:16pm,4.71,905,U11,45.433012,-73.93865893,39.02,0,0,,1,50093b8410c2a505,4,6,405,405,0.961197368
1557,2024-06-04,02:31:29pm,4.71,905,U13,45.43303878,-73.93857797,39.02,0,0,,1,50093b9138442333,4,7,412,412,0.936723684
1558,2024-06-04,02:32:41pm,4.71,905,D13,45.43301335,-73.93856101,39.019,0,0,,1,50093bd918887c7b,5,7,413,413,0.981881579
1559,2024-06-04,02:32:54pm,4.71,905,D11,45.43298676,-73.9386421,39.019,0,0,,1,50093be6278a06c1,5,6,406,406,0.979263158
1560,2024-06-04,02:33:06pm,4.71,905,D9,45.43296038,-73.93872333,39.02,0,0,,1,50093bf2355ce56d,5,5,313,313,0.974657228
1561,2024-06-04,02:33:19pm,4.71,905,D7,45.43293318,-73.93880404,39.02,0,0,,1,50093bff4709aa8e,5,4,306,306,0.98314518
1562,2024-06-04,02:33:31pm,4.71,905,D5,45.43290636,-73.93888497,39.02,0,0,,1,50093c0b5d6e7315,5,3,213,213,0.89148827
1563,2024-06-04,02:33:44pm,4.71,905,D3,45.43287938,-73.93896581,39.02,0,0,,1,50093c18201d5006,5,2,206,206,0.979052356
1564,2024-06-04,02:33:57pm,4.71,905,D1,45.43285247,-73.93904663,39.02,0,0,,1,50093c255287cdd6,5,1,113,113,0.97793392
1565,2024-06-04,02:34:09pm,4.71,905,D-1,45.43282555,-73.93912752,39.02,0,0,,1,50093c313a5b4233,5,0,106,106,0.985671053
1566,2024-06-04,02:35:04pm,4.71,905,U-1,45.43280096,-73.93911093,39.02,0,0,,1,50093c68674bddc2,6,0,107,107,0.975276641
1567,2024-06-04,02:35:17pm,4.71,905,U1,45.43282726,-73.93902964,39.02,0,0,,1,50093c751594fd99,6,1,114,114,0.962355263
1568,2024-06-04,02:35:30pm,4.71,905,U3,45.43285465,-73.93894913,39.02,0,0,,1,50093c8200f4da49,6,2,207,207,0.979565521
1569,2024-06-04,02:35:42pm,4.71,905,U5,45.43288139,-73.93886804,39.02,0,0,,1,50093c8e6f31b554,6,3,214,214,0.967737267
1570,2024-06-04,02:35:55pm,4.71,905,U7,45.43290856,-73.93878739,39.019,0,0,,1,50093c9b5b838619,6,4,307,307,0.96697325
1571,2024-06-04,02:36:07pm,4.71,905,U9,45.43293551,-73.93870658,39.019,0,0,,1,50093ca71aaea32f,6,5,314,314,0.977974554
1572,2024-06-04,02:36:20pm,4.71,905,U11,45.43296222,-73.93862553,39.019,0,0,,1,50093cb463aa4ae6,6,6,407,407,0.980315789
1573,2024-06-04,02:36:33pm,4.71,905,U13,45.4329891,-73.93854462,39.019,0,0,,1,50093cc1072c464e,6,7,414,414,0.701005246
,,,,,,,,,,,,,,,,,,0.935633004
,,,,,,,,,,,,,,,,,,0.007867684
